Town,Postcode
Aclare,R21
Aghabeg,R21
Augha,R21
Ballaghaderneen,R21
Ballinacrea,R21
Ballinakill,R21
Ballinkillen,R21
Ballinree,R21
Ballinrush,R21
Ballintrane,R21
Ballybrommell,R21
Ballycormack,R21
Ballydarton,R21
Ballykeenan,R21
Ballyknockan,R21
Ballyloughan,R21
Ballymoon,R21
Ballytimmin,R21
Ballywilliamroe,R21
Bannagagole,R21
Bealalaw,R21
Boghouse,R21
Boherduff,R21
Bohermore,R21
Booldurragh,R21
Carrig Beg,R21
Carrig More,R21
Carrignafecka,R21
Carrigpark,R21
Clashganny,R21
Clomoney,R21
Clonbulloge,R21
Clonee East,R21
Clonee West,R21
Clonegath,R21
Clonetoose,R21
Clonmacshane,R21
Clorusk Lower,R21
Clorusk Upper,R21
Closutton,R21
Coolnacuppoge,R21
Coolnasheegan,R21
Coolnasnaughta,R21
Coolnasnaughta Lowe,R21
Corriemore,R21
Corries,R21
Craanaha,R21
Croanruss,R21
Curracruit,R21
Currenree,R21
Donore,R21
Drumphea,R21
Dunleckney,R21
Dunleckney Cross,R21
Fenagh,R21
Fenniscourt,R21
Garreenleen,R21
Garryhill,R21
Glebe,R21
Glenaharry,R21
Glenco,R21
Gormona,R21
Heath,R21
Hollybrook,R21
Janeville,R21
Kilbrickan,R21
Kilcarrig,R21
Kilconnor,R21
Kilcruit,R21
Kildrenagh,R21
Kilgreaney,R21
Kilkea,R21
Killinane,R21
Killoughternane,R21
Kilmaglin,R21
Kilree,R21
Knockbrack,R21
Knockclonagad,R21
Knockdrumagh,R21
Knockendrane,R21
Knockullard,R21
Kylemaglush,R21
Kyletock,R21
Labanasigh,R21
Lark Walk,R21
Lismaconly,R21
Lorum,R21
Lower Upton,R21
Lumcloon,R21
Milltown,R21
Moanmore,R21
Moneybeg,R21
Mountmelican,R21
Mountpleasant,R21
Muine Bheag,R21
Myshall,R21
Newtown,R21
Newtown Hill,R21
Raheenleigh,R21
Raheenwood,R21
Rathduff,R21
Rathedan,R21
Rathellen,R21
Rathercan,R21
Rathnageeragh,R21
Rossacurra,R21
Rosslee,R21
Royal Oak,R21
Seskinryan,R21
Shangarry,R21
Sheean,R21
Skahanrane,R21
Slyguff,R21
Straduff,R21
Timbergap,R21
Tinnaclash,R21
Tinnegarney,R21
Toberbride,R21
Ullard,R21
Ullard More,R21
Upton,R21
Wells,R21
Aghade,R93
Agharue,R93
Aghwater,R93
Altamont,R93
Annagar,R93
Ardattin,R93
Ardnehue,R93
Ardristan,R93
Askea,R93
Augha,R93
Aughanure,R93
Ballaghaclay,R93
Ballaghmore,R93
Ballinaboley,R93
Ballinabrannagh,R93
Ballinacarrig,R93
Ballinadrum,R93
Ballinagilky,R93
Ballinakillbeg,R93
Ballinastraw,R93
Ballintemple,R93
Ballinvally,R93
Ballon,R93
Ballon Hill,R93
Ballower,R93
Ballybannon,R93
Ballybar,R93
Ballybar Lower,R93
Ballybar Upper,R93
Ballybit,R93
Ballybit Big,R93
Ballybit Little,R93
Ballybolger,R93
Ballycarney,R93
Ballycook,R93
Ballycrogue,R93
Ballycurragh,R93
Ballyduff,R93
Ballyedmond,R93
Ballygowan,R93
Ballyhacket,R93
Ballyhacket Lower,R93
Ballyhacket Upper,R93
Ballykealey,R93
Ballykillane,R93
Ballyknockan,R93
Ballyleen,R93
Ballylennon,R93
Ballyloo,R93
Ballymogue,R93
Ballymurphy,R93
Ballynakill,R93
Ballynoe,R93
Ballynolan,R93
Ballynunnery,R93
Ballyoliver,R93
Ballyryan,R93
Ballysallagh Lower,R93
Ballysallagh Upper,R93
Ballyshane,R93
Ballytarsna,R93
Ballyveal,R93
Ballyvergal,R93
Bannagagole,R93
Barnhill,R93
Baunleath,R93
Baunogephlure,R93
Baunogue,R93
Baunreagh,R93
Bellmount,R93
Bellshill,R93
Bendinstown,R93
Bennekerry,R93
Bilboa Cross,R93
Bishop's Cross,R93
Blackhill,R93
Blindennis,R93
Boggan,R93
Borough,R93
Bough,R93
Broomville,R93
Broughillstown,R93
Brown Bog,R93
Browneshill,R93
Bullock Park,R93
Burgage,R93
Burtonhall,R93
Busherstown,R93
Butlersgrange,R93
Cannonsquarter,R93
Cappagh,R93
Carlow,R93
