Town,Postcode
Aghadaghly,F92
Aghadreenan,F92
Aghahull,F92
Aghalattive,F92
Aghavannan Far,F92
Aghavannan Near,F92
Aghawoney,F92
Altadush,F92
Altaheeran,F92
Altinierin,F92
Altmore,F92
Anny,F92
Anny Far and Near,F92
Aphort,F92
Ardachrinn,F92
Ardahee,F92
Ardaturr,F92
Ardbane,F92
Ardglass,F92
Ardiganny,F92
Ardmeen,F92
Ardnadition,F92
Ardnaree,F92
Ardrummond,F92
Ardrummond Hill,F92
Ards,F92
Ards Beg,F92
Ards Big,F92
Ards Little,F92
Ards More,F92
Ardsbeg Lower,F92
Arduns,F92
Arraheera,F92
Arranmore,F92
Attatantee,F92
Aughadahor,F92
Aughalatty,F92
Aughalenty,F92
Aughanursan,F92
Aughlihard,F92
Aughnagaddy,F92
Aughnish,F92
Aughnish Isle,F92
Ballaghderg,F92
Balleighan,F92
Ballgreen,F92
Ballina,F92
Ballinacrick,F92
Ballinascall,F92
Ballindrait,F92
Ballintemple,F92
Ballintemple Lower,F92
Ballintra,F92
Ballintra North,F92
Ballure,F92
Ballyarr,F92
Ballyarr Glebe,F92
Ballybeg,F92
Ballyboe,F92
Ballyboe Lisnenan,F92
Ballyboencurragh,F92
Ballyboes,F92
Ballybokeel,F92
Ballybolagan,F92
Ballybolauder,F92
Ballybuninabber,F92
Ballycallan,F92
Ballyconnell,F92
Ballyconnell Indust,F92
Ballyconnelly,F92
Ballyelly,F92
Ballygallon,F92
Ballygawley,F92
Ballygay,F92
Ballyheerin,F92
Ballyhenny,F92
Ballyhiernan,F92
Ballyholey Far,F92
Ballyhoorisky,F92
Ballyhork,F92
Ballykeeran,F92
Ballykinard,F92
Ballylar,F92
Ballylawn,F92
Ballylevin,F92
Ballylin,F92
Ballymacool,F92
Ballymagahy North,F92
Ballymagahy South,F92
Ballymagowan Lower,F92
Ballymagowan Upper,F92
Ballymaleel,F92
Ballymichael,F92
Ballymore,F92
Ballymore Lower,F92
Ballymore Upper,F92
Ballynabrocky,F92
Ballynakilly,F92
Ballynalost,F92
Ballynashannagh,F92
Ballyness,F92
Ballyoghagan,F92
Ballyraine,F92
Ballyraine Industri,F92
Ballyscanlan Lower,F92
Ballyscanlan Upper,F92
Ballystrang,F92
Baltoney Lower,F92
Baltoney Upper,F92
Barnes Lower,F92
Barnes Upper,F92
Barnhill,F92
Barrack,F92
Bayhill,F92
Bedlam,F92
Beholand,F92
Bellanascaddan,F92
Bellville,F92
Binn,F92
Blacks Glen,F92
Bogay,F92
Bohirril,F92
Bomany,F92
Bonagee,F92
Booragh,F92
Breaghy,F92
Breenagh,F92
Brinlack,F92
Brinlack Lower,F92
Brinlack Middle,F92
Brinlack Upper,F92
Brockagh,F92
Brownhall,F92
Brownknowe,F92
Bunaninver,F92
Bunawack,F92
Bunbeg,F92
Bunlin,F92
Cabra Brook,F92
Cabra Glebe,F92
Cairn High,F92
Cairn Low,F92
Calhame,F92
Campbellstown,F92
Cark,F92
Carlan,F92
Carlan Lower,F92
Carlan Upper,F92
Carmoney,F92
Carnafeagh,F92
Carnagore,F92
Carnamuggagh Lower,F92
Carnamuggagh Upper,F92
Carnatreantagh,F92
Carnhill,F92
Carnisk,F92
Carraleena,F92
Carran,F92
Carrick,F92
Carrickascanlon,F92
Carrickataskin,F92
Carrickatumpan,F92
Carrickballydooey,F92
Carrickboyle,F92
Carrickcoyle,F92
Carrickmacafferty,F92
Carrickmacgarvey,F92
Carricknamart,F92
Carrickybressil,F92
Carrigart,F92
Carrigart Upper,F92
Carrowcannon,F92
Carrowcannon Lower,F92
Carrowcannon Upper,F92
Carrowcashel,F92
Carrowdoan,F92
Carrowkeel Glebe,F92
Carrownaganonagh,F92
Carrownamaddy,F92
Carrownasaul,F92
Carrowtrasna,F92
Carrowtrasna Lower,F92
Carryblagh,F92
Carrygault,F92
Carrygawley,F92
Casey,F92
Cashel,F92
Cashel Glebe,F92
Cashel Hill,F92
Casheleenan,F92
Cashelmore,F92
Cashelnagor,F92
Cashelpreaghan,F92
Cashelreagh,F92
Cashelshanaghan,F92
Castlebane,F92
Castledoe,F92
Castledooey,F92
Castlegay,F92
Castlegrove,F92
Castletorris,F92
Castlewray,F92
Church-Hill,F92
Churchtown,F92
Claggan,F92
Claggan South,F92
Claragh,F92
Cloghcor,F92
Cloghernagh,F92
Cloghfin,F92
Clonbara,F92
Clondallon,F92
Clondavaddog,F92
Clonkilly More,F92
Clontallagh,F92
Cloonbeg,F92
Clooncarney,F92
Cloone,F92
Clooney,F92
Cloonmass,F92
Cloughbane,F92
Cloughroe,F92
Coachmills,F92
Conwal,F92
Cooladerry,F92
Cooladerry Mountain,F92
Coolback,F92
Coolboy Big,F92
Coolboy Little,F92
Coole,F92
Coole Upper,F92
Corcreggan,F92
Corderry,F92
Corkey,F92
Corkey Upper,F92
Cornagill,F92
Cornagillagh,F92
Cornagullion,F92
Correnagh,F92
Corry,F92
Corveen,F92
Coshclady,F92
Coshia,F92
Cottain,F92
Cotteen,F92
Cotteen Upper,F92
Court,F92
Craghy,F92
Craig,F92
Cranford,F92
Crannagogue,F92
Crannagogue Upper,F92
Cratlagh,F92
Creenera,F92
Creenesmere,F92
Creeslough,F92
Creesloughbeg,F92
Creevagh,F92
Creeve,F92
Creevery Lower,F92
Creevery Upper,F92
Crieve Glebe,F92
Crievesmith,F92
