Town,Postcode
Shanbally,V94
Rylane,V94
Moynsha,V94
Meennahorna,V94
Knocknacrohy,V94
Knockmeal,V94
Kingsland,V94
Islandboy East,V94
Graigue,V94
Foil,V94
Dromleagh Demesne,V94
Dromleagh,V94
Curraghatouk,V94
Craggane,V94
Coolaneelig,V94
Beenanaspag,V94
Ballynamuddagh,V94
Ballymacjordan,V94
Woodville,V93
Woodlawn,V93
Whitestrand,V93
Whitegate,V93
Whitefield,V93
Whitebridge,V93
Westcove,V93
West Rath,V93
Urroghal,V93
Uragh,V93
Upper Tullig Beg,V93
Upper Lissivigeen,V93
Upper Killaha,V93
Upper Incheese,V93
Upper Coolcorcoran,V93
Upper Clontoo,V93
Tullorum,V93
Tullig More,V93
Tullig Beg,V93
Tullig,V93
Tullakeel,V93
Tullaha,V93
Tubrid,V93
Tubbrid,V93
Tubber,V93
Trippeenagh,V93
Treanmanagh,V93
Treangarriv,V93
Tralia,V93
Tragalee,V93
Tournalough,V93
Torc,V93
Toornaneaskagh,V93
Toormore,V93
Tooreennasliggaun,V93
Tooreenahone,V93
Tonreigh,V93
Tomies Cross,V93
Tomies,V93
Tinnahalla,V93
Tiernaboul Industri,V93
Tiernaboul,V93
Threegneeves,V93
The Park,V93
The Hideaway,V93
The Demesne,V93
The Castle,V93
Tahilla,V93
Swinemount,V93
Sunville,V93
Sunhill,V93
Summerhill,V93
Stookisland,V93
Stoney River Cottag,V93
Stealroe Cottages,V93
Stealroe,V93
Staigue,V93
Stagmount Upper,V93
Stagmount,V93
Springmount,V93
South Hill,V93
Sneem,V93
Slievenashaska,V93
Slievegaura,V93
Slievaduff,V93
Slaheny,V93
Slaght,V93
Skehanagh,V93
Skahies,V93
Sillahertane,V93
Shronedarragh,V93
Shronebirrane,V93
Shrone,V93
Shronahiree More,V93
Shronahiree Beg,V93
Shronaboy,V93
Shinnagh,V93
Sheheree,V93
Sheans West,V93
Sheans East,V93
Shannera Upper,V93
Shannera Lower,V93
Shannera Cross,V93
Shannera,V93
Shannavullin,V93
Shandrum,V93
Shanavalla,V93
Shanakeal,V93
Shanahill West,V93
Shanahill East,V93
Shanahill Bridge,V93
Shanahill,V93
Shanacloon,V93
Shanacashel,V93
Seersha,V93
Scrahannagaur,V93
Scrahanagnave,V93
Scartlea,V93
Scarteen,V93
Scartaglen,V93
Scart,V93
Saint Finan's Hospi,V93
Rusheens,V93
Rusheen More,V93
Rusheen Beg,V93
Rusheen,V93
Roxboro,V93
Roughty Bridge,V93
Rossmore,V93
Rosseightragh,V93
Rossdohan,V93
Rossboy,V93
Rossbeigh,V93
Rossanean,V93
Rossalia,V93
Rossacroo,V93
Rossacoosane,V93
Ross,V93
Rosnacartan More,V93
Rosnacartan Beg,V93
Rockfield West,V93
Rockfield School,V93
Rockfield Middle,V93
Rockfield East,V93
Rockfield,V93
River Bank Lodges,V93
Ring of Kerry Holid,V93
Reenroe,V93
Reennanallagane,V93
Reenkilla,V93
Reen Upper,V93
Reen,V93
Redtrench North,V93
Reavaun,V93
Reanlougha,V93
Readrinagh,V93
Raycoslough,V93
Rathpoge West,V93
Rathpoge East,V93
Rathpoge,V93
Rathfield,V93
Rathbeg,V93
Rath More,V93
Rath,V93
Rangue,V93
Ranalough,V93
Ranaleen,V93
Railway Crossing,V93
Railway Bridge,V93
Raheen,V93
Rahanane,V93
Radrinagh,V93
Racomane West,V93
Racomane East,V93
Quaybaun,V93
Poulnamuck,V93
Parknasmuttane,V93
Parknasilla Resort,V93
Parknamulloge,V93
Parkmore,V93
Parkavonear,V93
Parkalassa,V93
Park Place,V93
Pallas,V93
Páirc na Gloine,V93
Ownagarry,V93
Oureigh,V93
Oulagh West,V93
Oulagh East,V93
Old Forge,V93
Old Bridge,V93
Nunstown,V93
New Street Car Park,V93
Neesha,V93
Nedanone,V93
Nauntinane,V93
Mweelcaha,V93
Muingaphuca,V93
Mucksna,V93
Muckross,V93
Muckera,V93
Moyleglass,V93
Mountlyne,V93
Mounthenry,V93
Mount Falvey,V93
Moularostig,V93
Morley's Bridge,V93
Moneyflugh,V93
Molls Gap,V93
Molahiffe,V93
Minish East,V93
Minish,V93
Milltown,V93
Milleen,V93
Meentogues West,V93
Meentogues East,V93
Meentogues,V93
Meelick,V93
Meanus East,V93
Meanus,V93
Meallis,V93
Maulyneill,V93
Maulykevane,V93
Maulnahorna,V93
Maulnagower,V93
Maulcallee,V93
Maulagowna,V93
Maulagh,V93
Maulagallane,V93
Mastergeeha,V93
Mangerton,V93
Mahony's Point,V93
Madam's Heights,V93
Lyreboy,V93
Lyreatouig,V93
Lyre,V93
Lyranes Upper,V93
Lyranes Lower,V93
Lower Reen,V93
Lower Coolcorcoran,V93
Lower Behaghane,V93
Lounaghan,V93
Loughnagore,V93
Loughaunacreen,V93
Loughane,V93
Looscaunagh,V93
Loobridge,V93
Longfield,V93
Lonart,V93
Lomanagh,V93
Lohart,V93
Listry,V93
Lissyclearig,V93
Lissivigeen,V93
Lissavane West,V93
Lissavane East,V93
Lissaniska,V93
Liss Upper,V93
Liss Lower,V93
Liss,V93
Lisroe,V93
Lisnanoul,V93
Lisnagrave,V93
Lismongane,V93
Lismacfinnan,V93
Lisleibane,V93
Lisheennashingane,V93
Lisheennacannina,V93
Lisheenbawn,V93
Lisheen,V93
Lisbabe,V93
Lis Daire,V93
Lios na Greine,V93
Lickeen,V93
Letternadarriv,V93
Lettermoneel,V93
Lettergarriv,V93
Letterfinish,V93
Letter West,V93
Letter Upper,V93
Letter Reen,V93
Letter Lower,V93
Letter East,V93
Letter,V93
Lehid,V93
Leamnaguilla,V93
Lauragh Upper,V93
Lauragh Lower,V93
Lauhir,V93
Lassaboy,V93
Lambs Head,V93
Laharn West,V93
Laharn,V93
Lahard,V93
Laharan,V93
Laghtacallow,V93
Lackeen,V93
Lackaroe,V93
Lackabane,V93
Lacka,V93
Lacharoo,V93
Knoppoge,V93
Knockyshehane,V93
Knockyline,V93
Knockrour West,V93
Knockrour East,V93
Knockreer,V93
Knockreagh,V93
Knocknaskeha,V93
Knocknaman,V93
Knocknahoe West,V93
Knocknahoe East,V93
Knocknahoe,V93
Knocknagown,V93
Knocknacorrin,V93
Knocknabro,V93
Knocknaboola,V93
Knockmanagh,V93
Knocklebede,V93
Knockeragh,V93
Knockeens,V93
Knockeennahone,V93
Knockeennagowan,V93
Knockeenduff East,V93
Knockeenduff,V93
Knockeenalicka,V93
Knockdooragh,V93
Knockbrack,V93
Knockavota,V93
Knockaunroe,V93
Knockauncore,V93
Knockataggle More,V93
Knockataggle Beg,V93
Knockasarnet,V93
Knockanuha,V93
Knockanoulort,V93
Knockaninane West,V93
Knockaninane East,V93
Knockanimrish,V93
Knockanes,V93
Knockaneacoolteen,V93
Knockane,V93
Knockanarroor,V93
Knockaliebade,V93
Knockagowna,V93
Knockagarrane,V93
Knockaderry,V93
Knockacullig South,V93
Knockacullig North,V93
Kilsarcon,V93
Kilquane Upper,V93
Kilquane,V93
Kilpatrick,V93
Kilpadder,V93
Kilnarovanagh,V93
Kilnanare,V93
Kilnabrack Upper,V93
Kilnabrack Lower,V93
Kilmurry Cottages,V93
Kilmurry,V93
Kilmakilloge,V93
Killowen,V93
Killoughane,V93
Killorglin,V93
Killegy Upper,V93
Killegy Lower,V93
Killeentierna,V93
Killeenafinnane,V93
Killeen,V93
Killeagh Cross,V93
Killeagh,V93
Killarney National,V93
Killarney Lakeland,V93
Killarney,V93
Killalee,V93
Killahane,V93
Killaha West,V93
Killaha East,V93
Killaha,V93
Kilkneedan,V93
Kilkeehagh,V93
Kilkeana,V93
Kilgortaree,V93
Kilgobnet,V93
Kilgarvan West,V93
Kilgarvan,V93
Kilfelim,V93
Kilfanley,V93
Kilfadda More,V93
Kilfadda Beg,V93
Kilderry South,V93
Kilderry North,V93
Kilcurrane West,V93
Kilcurrane East,V93
Kilcummin,V93
Kilcoolaght West,V93
Kilcoolaght East,V93
Kilcoolaght,V93
Kilcolman,V93
