Town,Postcode
Ballnamullagh,A83
Ballycowan,A83
Ballynakill,A83
Ballyonan,A83
Ballyvoneen,A83
Brackagh,A83
Cappagh,A83
Cappagh House,A83
Clanough,A83
Clonagh,A83
Cloncurry,A83
Clonkeeran,A83
Coolree,A83
Dunfierth,A83
Dunfirth Farm,A83
Dysart,A83
Gorteen,A83
Grange,A83
Gurteen,A83
Johnstown Bridge,A83
Killbrook,A83
Killyon,A83
Kilmore,A83
Kilrathmurray,A83
Kilshanroe,A83
Martinstown,A83
Mucklon,A83
Mulgeeth,A83
Newtown,A83
Ribbontail,A83
Thomastown,A83
Confey,D15
Cullaghreeva,D15
Abbeylands,R14
Abbeyview,R14
Annalough,R14
Ardellis,R14
Ardellis Lower,R14
Ardellis Upper,R14
Ardmore,R14
Ardnagross,R14
Ardree,R14
Ardrew,R14
Ardscull,R14
Athy,R14
Aughaboura,R14
Aylmerstown,R14
Back Moone,R14
Ballindrum,R14
Ballitore,R14
Ballitore Hill,R14
Ballyadams,R14
Ballybarney,R14
Ballybought,R14
Ballyburn Lower,R14
Ballyburn Upper,R14
Ballycullane,R14
Ballyhade,R14
Ballynabarna,R14
Ballynacarrick Lowe,R14
Ballynacarrick Uppe,R14
Ballynagussaun,R14
Ballynasculloge,R14
Ballyroe,R14
Ballyvannan,R14
Ballyvass,R14
Barkersford,R14
Barnhill,R14
Barnhill East,R14
Barnhill West,R14
Barrowford,R14
Battlemount,R14
Beaconstown,R14
Belan,R14
Belan Lower,R14
Belview,R14
Bennettsbridge,R14
Bert,R14
Bert Demesne,R14
Bigbog,R14
Blackford,R14
Blackrath,R14
Blackwood,R14
Boley Great,R14
Boley Little,R14
Boleybeg,R14
Bolton,R14
Bolton Hill,R14
Brackna,R14
Bray Lower,R14
Bray Upper,R14
Broomfield,R14
Brownstown,R14
Burtown,R14
Burtown Big,R14
Burtown Little,R14
Cardington,R14
Cardington Demesne,R14
Castledermot,R14
Castlefarm,R14
Castlemitchell,R14
Castlemitchell Sout,R14
Castlereban,R14
Castlereban North,R14
Castlereban South,R14
Chanterlands,R14
Churchtown,R14
Churchtown North,R14
Clogorrow,R14
Cloney,R14
Collin,R14
Coltstown,R14
Commonstown,R14
Coneyboro,R14
Coolane,R14
Coolavash,R14
Coolrake,R14
Coolroe,R14
Corballis,R14
Courtown East,R14
Courtown West,R14
Crohanree,R14
Crookstown Lower,R14
Crookstown Upper,R14
Crophill,R14
Davidstown,R14
Davidstown Lower,R14
Davidstown Upper,R14
Dollardstown,R14
Elone,R14
Fontstown Lower,R14
Fontstown Upper,R14
Forest,R14
Fortbarrington,R14
Foxhill,R14
Gallowshill,R14
Garterfarm,R14
Geraldine,R14
Glassely,R14
Goulyduff,R14
Graney West,R14
Grangemellon,R14
Grangenolvin,R14
Grangenolvin Lower,R14
Grangenolvin Upper,R14
Greatrath,R14
