Town,Postcode
Ardclone,E32
Ashtown,E32
Ballinalinagh,E32
Ballycastlane,E32
Ballyglassoon,E32
Ballygown,E32
Ballyhenebery,E32
Ballynacronny,E32
Banagher,E32
Bawngarriff,E32
Bawnreigh,E32
Beaton,E32
Belline,E32
Birchwood,E32
Bregaun,E32
Brenar,E32
Brownmountain,E32
Cashel,E32
Castletown,E32
Clonconey,E32
Clonmore,E32
Corbally,E32
Corloughan,E32
Curragawn,E32
Curragh,E32
Curraghmore,E32
Cussaun,E32
Dowling,E32
Fanningstown,E32
Fiddown,E32
Garnarea,E32
Garryduff,E32
Garrygaug,E32
Garryrickin,E32
Glenbower,E32
Glencommon,E32
Gortrush,E32
Graigavine,E32
Graigue,E32
Harristown,E32
Inchnaglough,E32
Jamestown,E32
Kildalton,E32
Kilkiernan,E32
Killamery,E32
Killonnery,E32
Kilmacoliver,E32
Kilmanahin,E32
Kilmogue,E32
Knockeen,E32
Knockglass,E32
Knockroe,E32
Milltown,E32
Mullinbeg,E32
Oldcourt,E32
Owning,E32
Owning Hill,E32
Piltown,E32
Pollrone,E32
Raheen,E32
Riverquarter,E32
Sandpits,E32
Skough,E32
Skough Hill,E32
Templeorum,E32
The Sweep,E32
Tinnakilly,E32
Tobernabrone,E32
Tobernafauna,E32
Tower Hill,E32
Tullaghought,E32
Turkstown,E32
Tybroughney,E32
Whitechurch,E32
Woodview,E32
Ahanure,E41
Ardreagh,E41
Attateenoe,E41
Attateenoe Lower,E41
Attateenoe Upper,E41
Balief,E41
Balief Upper,E41
Balleen,E41
Balleen Lower,E41
Ballinascarry,E41
Ballybeigh,E41
Ballycuddihy,E41
Ballydonnell,E41
Ballyellis,E41
Ballygooney,E41
Ballylehaun,E41
Ballyring Upper,E41
Ballyspellan,E41
Baun,E41
Baunballinlough,E41
Baungarrow,E41
Baunrickeens,E41
Bawnmore,E41
Bayswell,E41
Borrisbeg,E41
Borrismore,E41
Bricana,E41
Castlepierce,E41
Castletown,E41
Clomantagh,E41
Clomantagh Lower,E41
Clomantagh Upper,E41
Clonsaul,E41
Coolcashin,E41
Coologue,E41
Cooloultha,E41
Craddockstown,E41
Creenkill Beg,E41
Creenkill More,E41
Crosspatrick,E41
Donoughmore,E41
Donoughmore Lower,E41
Donoughmore Upper,E41
Foulkscourt,E41
Foyle,E41
Foyle Bridge,E41
Foyle North,E41
Foyle South,E41
Frankford,E41
Galmoy,E41
Garnagale,E41
Garranconnell,E41
Garrydague,E41
Garrylawn,E41
Gathabawn,E41
Glashare,E41
Glebe,E41
Glenreagh,E41
Goresgrove,E41
Gorteennamuck,E41
Graine,E41
Grange,E41
Grangefertagh,E41
Johnstown,E41
Kildrinagh,E41
Killeshulan,E41
Kilrush,E41
Knockdav,E41
Kyle,E41
Lough,E41
Loughinney,E41
Lughinny,E41
Moneynamuck,E41
Moonarch,E41
Mountfinn,E41
Mullaunattina,E41
Newtown,E41
Parks,E41
Rathbane,E41
Rathclevin,E41
Rathlogan,E41
Rathoscar,E41
Rathosheen,E41
Rathpatrick,E41
Rathpoleen,E41
Rathreagh,E41
Ridge,E41
Seven Sisters,E41
Sragh,E41
The Islands,E41
Tincashel,E41
Toornamongan,E41
Tubbrid Lower,E41
Tubbrid Upper,E41
Tubrid,E41
Tullyvolty,E41
Urlingford,E41
Warrenstown,E41
Waterland,E41
Whiteswall,E41
Woodsgift,E41
Ballytarsna,R21
Wells,R21
Ballinaslee,R32
Ballynalacken,R32
Ballyouskill,R32
Castlemarket,R32
Chatsworth,R32
Coolnacritta,R32
Earlsgarden,R32
Fier,R32
Firoda Upper,R32
Lowhill,R32
Nicholastown,R32
Rathgarry,R32
Rosconnell,R32
Russellstown,R32
Tinnalinton,R32
Whiteswall,R32
Bilboa,R93
Bracken,R93
Cassagh,R93
Cloneen,R93
Coolcullen,R93
Coolraheen North,R93
Coon East,R93
Coon West,R93
Cruttenclough,R93
Gorteen,R93
Kanesbridge,R93
Knockalane,R93
Knockmajor,R93
Prospect,R93
Revanagh,R93
Uskerty,R93
Acore,R95
Acragar,R95
Adamstown,R95
Agha,R95
Aghaviller,R95
Aghclare,R95
Ahanure North,R95
Aharney,R95
Ahenure,R95
Akyletawn,R95
Annaleck,R95
Annamult,R95
Annfield,R95
Archersgrove,R95
Archerslease,R95
Archersrath,R95
Ardaloo,R95
Ardbawn,R95
Ardboy,R95
Ardnore,R95
Ardra,R95
Aughamucky,R95
Aughtanny,R95
Ayrfield,R95
Ballagh,R95
Ballaghcloneen,R95
Ballavarra,R95
Balleen,R95
Balleen Hill,R95
Balleen Little,R95
Balleen Lower,R95
Balleven,R95
Ballilogue,R95
Ballinabarna,R95
Ballinaboola,R95
