Town,Postcode
Garranmaconly,E53
Nealstown,E53
Stough,E53
Aghadreen,R14
Aghamafir,R14
Aghanure,R14
Ballinree,R14
Ballintubbert,R14
Ballyadams,R14
Ballybeg,R14
Ballycorman,R14
Ballyfinnan,R14
Ballylehane Lower,R14
Ballylehane Upper,R14
Ballylinan,R14
Ballynagarr,R14
Barrowhouse,R14
Boley,R14
Cappanafeacle,R14
Castletown,R14
Clonpierce,R14
Coolgarragh,R14
Coolglass,R14
Coonbeg,R14
Corbally,R14
Crissard,R14
Cullenagh,R14
Doonane,R14
Drimroe,R14
Dunbrin,R14
Dunbrin Lower,R14
Dunbrin Upper,R14
Fallaghmore,R14
Farnans,R14
Garroonagh,R14
Glosna,R14
Gracefield,R14
Graigue,R14
Kellystown,R14
Kellyville,R14
Kilcruise,R14
Kilfeacle,R14
Killabban,R14
Killyganard,R14
Kilmoroney,R14
Knockacrin,R14
Kylenabehy,R14
Loughlass,R14
Maghareagh,R14
Maidenhead,R14
Milltown,R14
Modubeagh,R14
Monascreeban,R14
Monebrock,R14
Moyadd,R14
Mullaghmore,R14
Oldcourt,R14
Parkahoughill,R14
Popefield,R14
Rahin,R14
Rathaspick,R14
Ratherrig,R14
Rathgilbert,R14
Rathmore,R14
Shanganagh Beg,R14
Shanganagh More,R14
Shanragh,R14
Skehanagh,R14
Slatt Lower,R14
Slatt Upper,R14
Southfield,R14
Tankardstown,R14
The Pike,R14
The Swan,R14
Whitebog,R14
Wolfhill,R14
Abbeyleix,R32
Acragar,R32
Addergoole,R32
Afoley,R32
Aghaboe,R32
Aghduff,R32
Aghnaharna,R32
Aharney,R32
Akip,R32
Altavilla,R32
Anatrim,R32
Annmount,R32
Anster,R32
Archerstown,R32
Ardlea,R32
Ardvarney,R32
Ashbrook,R32
Ashgrove,R32
Aughafan,R32
Aughamaddock,R32
Aughmacart,R32
Aughnacross,R32
Aughnahilla,R32
Aughoney,R32
Avolia,R32
Badgerhill,R32
Badgerisland,R32
Ballacolla,R32
Ballacolla Heath,R32
Ballacollig,R32
Ballagh,R32
Ballaghmore,R32
Ballaghmore Lower,R32
Ballaghmore Upper,R32
Ballina,R32
Ballinaclogh Lower,R32
Ballinaclogh Upper,R32
Ballinakill,R32
Ballindine,R32
Ballinfrase,R32
Ballinla,R32
Ballinlough,R32
Ballinrally,R32
Ballintaggart,R32
Ballinteskin,R32
Ballintlea,R32
Ballintlea Lower,R32
Ballintlea Upper,R32
Ballintogher,R32
Ballyadding,R32
Ballyboodin,R32
Ballybrittas,R32
Ballybrophy,R32
Ballybuggy,R32
Ballycarnan,R32
Ballycarroll,R32
Ballycleary,R32
Ballyclider,R32
Ballycoolan,R32
Ballycoolid,R32
Ballycormick,R32
Ballycrossal,R32
Ballycuddahy,R32
Ballycullane,R32
Ballycullen Beg,R32
Ballydavin,R32
Ballydavis,R32
Ballyduff,R32
Ballyedmond,R32
Ballyfarrell,R32
Ballyfin,R32
Ballyfin Demesne,R32
Ballyfin Upper,R32
Ballygarvan,R32
Ballygauge,R32
Ballygeehin Lower,R32
Ballygeehin Upper,R32
Ballygillaheen,R32
Ballyglass,R32
Ballyglishen,R32
Ballygormill,R32
Ballygowdan,R32
Ballyhegadon,R32
Ballyhinode,R32
Ballyhoran,R32
Ballyhuppahane,R32
Ballyhyland,R32
Ballykealy,R32
Ballykeevan,R32
Ballykenneen Lower,R32
Ballykenneen Upper,R32
Ballykilcavan,R32
Ballyking,R32
Ballyknockan,R32
Ballylusk,R32
Ballymackan,R32
Ballymacrory,R32
Ballymaddock,R32
Ballymanus,R32
Ballymeelish,R32
Ballymooney,R32
Ballymorris,R32
Ballymoyle,R32
Ballymullen,R32
Ballynafunshin,R32
Ballynahimmy,R32
Ballynahown,R32
Ballynakill,R32
Ballynalug,R32
Ballynevin,R32
Ballynowlan,R32
Ballyowen,R32
Ballypickas Lower,R32
Ballypickas Upper,R32
Ballyquaid,R32
Ballyreilly,R32
Ballyrider,R32
Ballyroan,R32
Ballyruin,R32
Ballyshaneduff,R32
Ballytarsna,R32
Ballytegan,R32
Ballythomas,R32
Barkmill,R32
Barna,R32
Barnaboy,R32
Barnadarrig,R32
Barnasallagh,R32
Barnashrone,R32
Barney,R32
Barnhill,R32
Barradoos,R32
Barrahill,R32
Barrawinga,R32
Baunaughra,R32
Baunoge,R32
Baunogemeely,R32
Baunree,R32
Bauteogue,R32
Bawn,R32
Bawnaree,R32
Bealady,R32
Beckfield,R32
Beladd,R32
Belady,R32
Belin,R32
Bellair,R32
Bellegrove,R32
Belmont,R32
Birchwood,R32
Bishopswood,R32
Blackford,R32
Blackhills,R32
Bloomfield,R32
Bluegate Cottages,R32
Bockagh,R32
Boghlone,R32
Boherard,R32
Bohernaghty,R32
Boley,R32
Boley Lower,R32
Boley Upper,R32
Boleybawn,R32
Boleybeg,R32
Bonastic,R32
Bordowin,R32
Bordwell,R32
Borohan,R32
Borris Great,R32
Borris Little,R32
Borris-in-Ossory,R32
Boston,R32
Boyle,R32
Braccas,R32
Brandra,R32
Brennanshill,R32
Briscula,R32
Brittas,R32
Brocka,R32
Brockagh,R32
Brockra,R32
Brockry,R32
Broughla,R32
Bughorn,R32
Bunlacken,R32
Burnwood,R32
Bushfield,R32
Butterisland,R32
Caher,R32
Camira,R32
Campclone,R32
Camross,R32
Cannonswood,R32
Capard,R32
Cappabeg,R32
Cappagh,R32
Cappagh North,R32
Cappagh South,R32
Cappakeel,R32
Cappalane,R32
Cappalinnan,R32
Cappanacleare,R32
Cappanacloghy,R32
Cappanagraigue,R32
Cappanarrow,R32
Cappanashannagh,R32
Cappaneary,R32
Cappanrush,R32
Capparogan,R32
Cappoley,R32
Capponellan,R32
Cardtown,R32
Carn,R32
Carrick,R32
Carricksallagh,R32
Carrigeen,R32
Carrowreagh,R32
Cashel,R32
Castleconor,R32
Castlecuffe,R32
Castledurrow Demesn,R32
Castlefleming,R32
Castlegrogan,R32
Castlequarter,R32
Castletown,R32
Castletrench,R32
Castleview,R32
Castlewood,R32
Catholes,R32
Cavansheath,R32
Charlville,R32
Churchfield,R32
Churchquarter,R32
Churchtown,R32
Clarahill,R32
Clarbarracum,R32
Clash,R32
Clashboy,R32
Clashnamuck,R32
Cloghoge,R32
Clonad,R32
Clonadacasey,R32
Clonaddadoran,R32
Clonageera,R32
Clonagh,R32
Clonagooden,R32
Clonaheen,R32
Clonaheen Hall,R32
Clonamone,R32
Clonanny,R32
Clonard,R32
Clonaslee,R32
Clonawoolan,R32
Clonbane,R32
Clonbar,R32
Clonbarrow,R32
Clonboyne,R32
Clonburren,R32
Cloncannon,R32
Cloncannon Lower,R32
Cloncannon Upper,R32
Cloncosney,R32
Cloncough,R32
Cloncourse,R32
Cloncullane,R32
Cloncullen,R32
Cloncully,R32
Clondarrig,R32
Clondouglas,R32
Clonduff,R32
Cloneeb,R32
Clonehurk,R32
Clonenagh,R32
Clonfad,R32
Clonin,R32
Clonincurragh,R32
Clonkeen,R32
Clonking,R32
Clonlyon,R32
Clonmeen,R32
Clonmeen Cross,R32
Clonmeen South,R32
Clonmeenwood,R32
Clonminam,R32
Clonmore,R32
Clonoghil,R32
Clononeen,R32
Clonreher,R32
Clonroosk,R32
Clonroosk Little,R32
Clonrud,R32
Clonsoghey,R32
Clonterry,R32
Clontico,R32
Clontoura,R32
Clontyglass,R32
Clonygowan,R32
Cloonagh,R32
Cloonagh Beg,R32
Cloonagh More,R32
Cloosecullen,R32
Clopook,R32
Clopook Cross,R32
Closeland,R32
Closh,R32
Closhaun,R32
Clough,R32
Colt,R32
Commons,R32
Coolaboghlan,R32
Coolacurragh,R32
Coolagh,R32
Coolaghy,R32
Coolbally,R32
Coolballyogan,R32
Coolbanagher,R32
Coolderry,R32
Coole,R32
Coolfin,R32
Coolkerry,R32
Coolnabacca,R32
Coolnabanch,R32
Coolnaboul West,R32
Coolnacarrick,R32
Coolnacartan,R32
Coolnagour,R32
Coolnamona,R32
Coolowley,R32
Coolrain,R32
Coolroe,R32
Coolrusk,R32
Cooltoran,R32
Corbally,R32
Corraun,R32
Correel,R32
Corrig,R32
Corrigeen,R32
Cottagefarm,R32
Course,R32
Courtwood,R32
Crannagh,R32
Cremorgan,R32
Cromoge,R32
Cross,R32
Crubeen,R32
Cruell,R32
Cuddagh,R32
Cuddagh South,R32
Cuffsboro,R32
Cullahill,R32
Cullahill Mountain,R32
