Town,Postcode
Annagh,E34
Ardnamoher,E34
Ardrahin,E34
Attybreaga,E34
Ballinamona,E34
Ballinamuddy,E34
Ballinatona,E34
Ballyanna,E34
Ballybeg,E34
Ballyfirreen,E34
Ballygeana,E34
Ballylahiff,E34
Ballyvalode,E34
Banteen,E34
Barna,E34
Bohercarron,E34
Boherdotia,E34
Boolanlisheen,E34
Carrickroche,E34
Castlecluggin,E34
Castlecreagh,E34
Castlelloyd,E34
Clashanea,E34
Cloghadalton,E34
Cluggin,E34
Curraghkilbran,E34
Deerpark,E34
Dungrud,E34
Duntryleague,E34
Galbally,E34
Garavan,E34
Garnalina,E34
Garryduff,E34
Garryheakin,E34
Glebe,E34
Gortaclareen,E34
Gortakilleen,E34
Gortyvahane,E34
Inchacoomb,E34
Keeloges,E34
Kilgreana,E34
Killinane,E34
Kilmacogue,E34
Kilscanlan,E34
Knockanebrack,E34
Knockaunnacurraha,E34
Kylenagoneeny,E34
Lisnacullia,E34
Lisnaroon,E34
Lissard,E34
Longford East,E34
Longford West,E34
Lyre,E34
Moanahila,E34
Moanaviddoge,E34
Moanoola,E34
Moanroe,E34
Newtown,E34
Oola,E34
Oola Enterprise Cen,E34
Oola Hills West,E34
Oolahills East,E34
Park,E34
Shanaclogh East,E34
Shanaclogh West,E34
Snugborough,E34
Accour,P56
Ahadagh,P56
Avaheen,P56
Ballincolly,P56
Ballinlonig,P56
Ballyduhig,P56
Ballymongaun,P56
Banemore,P56
Barnagrane,P56
Bohard,P56
Boola,P56
Broadford,P56
Callahow,P56
Carraward,P56
Carraward East,P56
Carraward West,P56
Cloncrew,P56
Clonlara,P56
Clonmore,P56
Coolaboy,P56
Coolaleen,P56
Coolnaknockane,P56
Coolygorman,P56
Creggane,P56
Dromcollogher,P56
Dromcollogher Enter,P56
Farrihy,P56
Fort East,P56
Fort Middle,P56
Fort West,P56
Foxhall,P56
Foxhall East,P56
Foxhall West,P56
Gardenfield,P56
Garrane,P56
Glenduff,P56
Gorteen,P56
Gortmore,P56
Gortroe,P56
Hernsbrook,P56
Highmount,P56
Kells,P56
Kilcolman,P56
Kilcoorha,P56
Kilcoorha South,P56
Killeen,P56
Knockacraig,P56
Knockgloss,P56
Knocktoosh,P56
Lacka Lower,P56
Lacka Upper,P56
Lisnafulla,P56
Mondellihy,P56
Mountplummer,P56
Rathpalatine,P56
Rossline,P56
Sheshiv,P56
Springfield,P56
Tullaha,P56
Tullaha West,P56
Tulligmacthomas,P56
Woodfield,P56
Ballinatona,P67
Behenagh,P67
Boher,P67
Brackbaun,P67
Carhue,P67
Carrigeen,P67
Castlequarter,P67
Churchquarter,P67
Coolattin,P67
Coolboy,P67
Coolnamohoge,P67
Garryvurragha,P67
Kilbehenny,P67
Kilglass,P67
Knockcommane,P67
Knocknagaltee,P67
Knocknascrow,P67
Knockrour,P67
Lisnalanniv,P67
Loughananna,P67
Shrove,P67
Thornhill Lawn,P67
Limerick,V14
Ballydonoghue,V31
Adamstown,V35
Ahnagurra,V35
Alston,V35
Anglesboro,V35
Anhid Cross,V35
Anhid East,V35
Anhid West,V35
Annaslinga Cross,V35
Ard na Rí,V35
Ardaulin,V35
Ardkilmartin,V35
Ardmore,V35
Ardpatrick,V35
Ardvullen,V35
Ardykeohane,V35
Ardyoul,V35
Arywee,V35
Ash Hill,V35
Ashfield,V35
Athlacca,V35
Athlacca North,V35
Athlacca South,V35
Baggotstown,V35
Baggotstown East,V35
Baggotstown West,V35
Ballinacourty,V35
Ballinacurra,V35
Ballinafina,V35
Ballinagarde,V35
Ballinagoul,V35
Ballinagranagh,V35
Ballinahinch,V35
Ballinahown,V35
Ballinalacken,V35
Ballinamuddagh,V35
Ballinanima,V35
Ballinard,V35
Ballincarroona,V35
Ballincolloo,V35
Ballincolly,V35
Ballincrana,V35
Ballinculloo,V35
Ballincurra,V35
Balline,V35
Ballinfreera,V35
Ballingaddy,V35
Ballingarry,V35
Ballingayrour,V35
Ballingirlough,V35
Ballingoola,V35
Ballinlee North,V35
Ballinlee South,V35
Ballinleena,V35
Ballinlough,V35
Ballinlyna Lower,V35
Ballinlyna Upper,V35
Ballinoran,V35
Ballinrea,V35
Ballinscaula,V35
Ballinschoola,V35
Ballinstona North,V35
Ballinstona South,V35
Ballintaw,V35
Ballintubber,V35
Ballinvreena,V35
Ballinwillin,V35
Ballyagogue,V35
Ballyagran,V35
Ballyanna,V35
Ballyauliffe,V35
Ballybane,V35
Ballybeg,V35
Ballyblake,V35
Ballybricken,V35
Ballybrien,V35
Ballycahill,V35
Ballycampion,V35
Ballyclough,V35
Ballyclough Upper,V35
Ballycullane,V35
Ballyculleen,V35
Ballydaheen,V35
Ballydaly,V35
Ballydonoghue,V35
Ballyduff,V35
Ballyea,V35
Ballyfaskin,V35
Ballyfeerode,V35
Ballyfookeen,V35
Ballyfruta,V35
Ballygibba,V35
Ballygibba North,V35
Ballygibba South,V35
Ballygillane,V35
Ballygrennan,V35
Ballygriffin,V35
Ballyguile,V35
Ballyhaught,V35
Ballyhigh,V35
Ballyhoodane,V35
Ballylanders,V35
Ballylooby,V35
Ballyloundash,V35
Ballylusky,V35
Ballymac,V35
Ballymacamore,V35
Ballymacrory,V35
Ballymacshaneboy,V35
Ballymartin,V35
Ballynalahagh,V35
Ballynamoloogh,V35
Ballynamona,V35
Ballynanty,V35
Ballynaught,V35
Ballynoe,V35
Ballyorgan,V35
Ballyphilip,V35
Ballyreesode,V35
Ballyriggin,V35
Ballyroe Lower,V35
Ballyroe Upper,V35
Ballysalla,V35
Ballysallagh,V35
Ballyshane,V35
Ballyshonakin,V35
Ballyskiddane,V35
Ballytigue,V35
Ballytigue Lower,V35
Ballytigue Upper,V35
Ballyvodane,V35
Ballyvolane,V35
Ballyvologue,V35
Banogue,V35
Banogue Cross,V35
Bantard,V35
Bantard South,V35
Barnagurrahy,V35
Barrysfarm,V35
Baunnageeragh,V35
Bawnaclea,V35
Bawnmore,V35
Beechlawn,V35
Belview,V35
Boherard,V35
Boherduff,V35
Bohereenkyle,V35
Bohergeela,V35
Bohernagore,V35
Bohernore,V35
Boolavoord,V35
Boreenglass,V35
Bosnetstown,V35
