Town,Postcode
Annagh,N37
Abbeyderg,N39
Abbeyderg Lower,N39
Abbeyderg Upper,N39
Abbeylara,N39
Abbeyshrule,N39
Abbeyshrule Airfiel,N39
Aghaboy,N39
Aghabrack,N39
Aghacordrinan,N39
Aghadegnan,N39
Aghadowry,N39
Aghafad,N39
Aghafin,N39
Aghagah,N39
Aghagreagh,N39
Aghakeeran,N39
Aghakine,N39
Aghaloughan,N39
Aghalust,N39
Aghamore,N39
Aghamore Lower,N39
Aghamore Upper,N39
Aghanageeragh,N39
Aghanahown,N39
Aghanoran,N39
Aghantrah,N39
Aghanvally,N39
Agharanagh,N39
Aghareagh,N39
Agharickard,N39
Agharra,N39
Aghavadden,N39
Aghaward,N39
Aghinaspick,N39
Aghintemple,N39
Aghnacross,N39
Aghnagore,N39
Aghnamaddoo,N39
Aghnashingan,N39
Aghnasillagh,N39
Aghnaskea,N39
Aghnavealoge,N39
Allenagh,N39
Annagh,N39
Annaghdaniel,N39
Antley,N39
Antley Industrial e,N39
Ardagh,N39
Ardagh Village,N39
Ardagullion,N39
Ardanragh,N39
Ardboghil,N39
Ardnacassa,N39
Ardoghil,N39
Ards,N39
Asnagh,N39
Aughabrack,N39
Aughagreagh,N39
Aughakeel,N39
Aughakilmore,N39
Aughamore,N39
Aughine,N39
Aughnacliffe,N39
Aughnagarnon,N39
Aughnashannagh,N39
Back of the Hill,N39
Ballagh,N39
Ballaghgowla and Fr,N39
Ballina,N39
Ballinagall,N39
Ballinalee,N39
Ballinamore,N39
Ballinamuck,N39
Ballincurry,N39
Ballingall,N39
Ballinreaghan,N39
Ballinree,N39
Ballinroddy,N39
Ballinroey,N39
Ballinrud East,N39
Ballintempan,N39
Ballintober,N39
Ballinulty,N39
Ballinulty Lower,N39
Ballinulty Upper,N39
Ballinvoher,N39
Balloo,N39
Ballyboy,N39
Ballybranigan,N39
Ballybrien,N39
Ballyclare,N39
Ballycloghan,N39
Ballycore,N39
Ballydrum,N39
Ballyduffy,N39
Ballygar,N39
Ballygarve,N39
Ballygibbagh,N39
Ballygilchrist,N39
Ballyglassin,N39
Ballyhoolivan,N39
Ballykenny,N39
Ballyknock,N39
Ballymaclifford,N39
Ballymacormick,N39
Ballymacroly,N39
Ballymacshane,N39
Ballymacwilliam,N39
Ballymahon,N39
Ballymakeegan,N39
Ballymaurice,N39
Ballymichan,N39
Ballyminion,N39
Ballymore,N39
Ballymulvey,N39
Ballynacross,N39
Ballynagoshen,N39
Ballynahinch,N39
Ballynakill,N39
Ballynamanagh,N39
Ballynamona,N39
Ballynascraw,N39
Ballyreaghan,N39
Ballyrevagh,N39
Ballywalter,N39
Ballywillin,N39
Bandra,N39
Banghill,N39
Barley Harbour,N39
Barnacor,N39
Barne,N39
Barney,N39
Barneygole,N39
Barragh Beg,N39
Barroe,N39
Barry,N39
Barrymore,N39
Bawn,N39
Bawn Lower,N39
Bawn Mountain,N39
Begnagh,N39
Bessfort,N39
Birrinagh,N39
Bleanavoher,N39
Bohermore,N39
Bohernacross,N39
Bohernameeltoge,N39
Bracklin,N39
Breaghy,N39
Breanriskcullew,N39
Breany,N39
Brianstown,N39
Brickeens,N39
Briskil,N39
Brocklagh,N39
Bunalough,N39
Bundoon,N39
Bunlahy,N39
Cahanagh,N39
Caldragh,N39
Caldraghmore,N39
Caltrabeg,N39
Caltramore,N39
Cam,N39
Camagh,N39
Camlisk,N39
Camlisk More,N39
Carn,N39
Carnan,N39
Carra,N39
Carrickadorrish,N39
Carrickateane,N39
Carrickboy,N39
Carrickduff,N39
Carrickedmond,N39
Carrickglass Demesn,N39
Carrickmaguirk,N39
Carrickmoran,N39
Carrickmoyragh,N39
Carrigeen,N39
Carrow Beg,N39
Carrow More,N39
Carrowbeg,N39
Carrowdunican,N39
Carrowmanagh,N39
Carrowroe,N39
Carrowrory,N39
Carrowstrawly,N39
Cartoon,N39
Cartron,N39
Cartron Big,N39
Cartron Upper,N39
Cartronageeragh,N39
Cartronawar,N39
Cartronbore,N39
Cartronboy,N39
Cartronbrack,N39
Cartroncar,N39
Cartrongar,N39
Cartrongarrow,N39
Cartrongolan,N39
Cartronlebagh,N39
Cartronmarkey,N39
Cartronreagh,N39
Cartrons,N39
Cashel,N39
Cashelbeg,N39
Castlebawn,N39
Castlebrock,N39
Castlecore,N39
Castleforbes Demesn,N39
Castlenugent,N39
Castlerea,N39
Castlerea Mountain,N39
Castlewilder,N39
Cavan,N39
Church Quarter,N39
Churchlands,N39
Claras,N39
Cleenrah,N39
Cleggill,N39
Cleraun,N39
Clogh,N39
Cloghan,N39
Clonard,N39
Clonbalt Wood,N39
Clonbeg,N39
Clonboney,N39
Clonbroney,N39
Clonca,N39
Cloncowley,N39
Cloncullen,N39
Clonee,N39
Clonfin,N39
Clonfower,N39
Clonmee,N39
Clontumpher,N39
Clontymullan,N39
Clonwhelan,N39
Cloonagh,N39
Cloonaghmore,N39
Cloonahard,N39
Cloonahussey,N39
Cloonanny,N39
Cloonard,N39
Cloonaugh,N39
Cloonaugh Lower,N39
Cloonaugh Upper,N39
Cloonback,N39
Cloonbalt,N39
Cloonbearla,N39
Cloonbreany,N39
Cloonbrin,N39
Cloonbrock,N39
Clooncallow,N39
Clooncaulfield,N39
Clooncoose,N39
Cloondara,N39
Clooneen,N39
Clooneeny,N39
Cloonellon,N39
Cloonelly,N39
Cloonevit,N39
Cloonfide,N39
Cloonfiugh,N39
Cloonkeel,N39
