Town,Postcode
Addergoole,F12
Aghtaboy,F12
Ahena,F12
Altbaun,F12
Altinea,F12
Annagh Hill,F12
Annefield,F12
Annies,F12
Ardacarha,F12
Ardara,F12
Ardcorky,F12
Ardgullen,F12
Ardlee,F12
Ardroe,F12
Attavally,F12
Aughervilla Lower,F12
Aughervilla Upper,F12
Backfox,F12
Ballina,F12
Ballinagran,F12
Ballinamore,F12
Ballinaster,F12
Ballinastocka,F12
Ballindell,F12
Ballindell East,F12
Ballindine,F12
Ballindine East,F12
Ballindine North,F12
Ballindine West,F12
Ballindrehid,F12
Ballinlag,F12
Ballinlough,F12
Ballinphuill,F12
Ballinsmaula,F12
Ballintaffy,F12
Ballintemple,F12
Ballintleva,F12
Ballintubber,F12
Ballinvilla,F12
Ballinvoher,F12
Ballinvoley,F12
Balloorclerhy,F12
Ballure,F12
Ballybane,F12
Ballybrehony North,F12
Ballybrehony South,F12
Ballydaff,F12
Ballydrum,F12
Ballyfarnagh,F12
Ballygarries,F12
Ballygarry,F12
Ballyglass,F12
Ballyglass East,F12
Ballygowan,F12
Ballyhankeen,F12
Ballyhowly,F12
Ballykinave,F12
Ballykine Lower,F12
Ballykine Upper,F12
Ballymackeogh,F12
Ballymagibbon North,F12
Ballymagibbon South,F12
Ballymangan,F12
Ballymiles,F12
Ballymullavil,F12
Ballynaglea,F12
Ballynamona,F12
Ballynanerroon Beg,F12
Ballynanerroon More,F12
Ballynaslee,F12
Ballynastangford Lo,F12
Ballynastangford Up,F12
Ballynew,F12
Ballyroe,F12
Ballywalter,F12
Baloor East,F12
Barleyhill,F12
Barnacahoge,F12
Barnagreggaun,F12
Barnagurry,F12
Barnahowna,F12
Barnakillew,F12
Barnalyra,F12
Barnycarroll,F12
Barreel,F12
Bekan,F12
Belesker,F12
Bellfield,F12
Billypark,F12
Birchfield,F12
Bloomfield,F12
Bohaun,F12
Boherduff,F12
Bohola,F12
Boleybeg,F12
Boleyboy,F12
Boleymeelagh,F12
Bolinree,F12
Bothaul,F12
Bracklagh,F12
Brackloon,F12
Brackloon South,F12
Brackloon West,F12
Branraduff,F12
Brickens,F12
Brittas,F12
Brize,F12
Brookhill,F12
Brownstown,F12
Bulcaun,F12
Bunacrower,F12
Bunduff,F12
Burren,F12
Burriscarra,F12
Burrish,F12
Bushfield,F12
Caher,F12
Caherafort,F12
Caheravoostia,F12
Caldragh,F12
Caltra,F12
Canbrack,F12
Cappagh,F12
Cappaghduff,F12
Cappanacreha,F12
Caraun,F12
Carheen,F12
Carheens,F12
Carn,F12
Carramore North,F12
Carravilla,F12
Carrawina,F12
Carrick,F12
Carrickacat,F12
Carrickmacantire,F12
Carrowaneeragh,F12
Carroward,F12
Carrowbaun,F12
Carrowbeg,F12
Carrowbeg East,F12
Carrowbrack,F12
Carrowcanada,F12
Carrowcastle,F12
