Town,Postcode
Abbey View,C15
Abbeylands,C15
Abelstown,C15
Aclare,C15
Adamstown,C15
Addinstown,C15
Aghafarnan,A82
Aghaloaghan,A82
Aghanascortan,A83
Aghathomas,C15
Agher,A83
Aghnagillagh,N91
Alderbrook,A84
Alexanderaide,C15
Allendale,A82
Allenstown,A82
Allenstown,C15
Altmush,A82
Annagh,A82
Annagor,A92
Annaville,A83
Annesbrook,A92
Anneville,A83
Annmont,N91
Antylstown,C15
Arch Hall,C15
Archdeaconary,A82
Archerstown,A84
Archerstown Demesne,A84
Archerstown Wood,A84
Ardagh,A82
Ardamagh,A82
Ardbraccan,C15
Ardbraccan Village,C15
Ardbrackan,C15
Ardcalf,C15
Ardcath,A42
Ardenew,A83
Ardfrail,A82
Ardglassan,A82
Ardlonan,A82
Ardmulchan,C15
Ardmulchan Lower,C15
Ardnamullen,A83
Ardrums,A83
Ardrums Great,A83
Ardrums Little,A83
Ardsallagh,C15
Arlonstown,C15
Arodstown,A83
Arrigal,A82
Ash Hill,A86
Ashbourne,A84
Ashbourne Business,A84
Ashbourne Industria,A84
Ashbourne Manufactu,A84
Ashewood,A84
Ashfield,A83
Ashfield,C15
Ashpark,A42
Assey,C15
Assigh,C15
Athboy,C15
Athcarne,A92
Athgaine,A82
Athgaine Great,A82
Athlumney,C15
Athlumney Abbey,C15
Athlumney Wood,C15
Athronan,C15
Aughamore,A82
Augherskea,A85
Avondale,C15
Avourwen,A92
Baconstown,A83
Bailis,C15
Bailis Downs,C15
Balbradagh,C15
Balbray,C15
Balfaddock,C15
Balfeaghan,W23
Balfestown,D15
Balgeen,A92
Balgeeth,A42
Balgeeth,A82
Balgeeth,C15
Balgill,C15
Balgree,A82
Ballaghaweary,K67
Ballaghtalion,C15
Ballany Cross,A82
Ballardan Little,C15
Ballardin,C15
Ballasport,A83
Ballestran,K32
Ballin,A83
Ballina,A83
Ballinabrackey,N91
Ballinaclose,A82
Ballinacree,A82
Ballinadrimna,C15
Ballinagranshy,A82
Ballinakill,A83
Ballinderrin,A83
Ballinderry,A83
Ballineale,A82
Ballinee,A82
Ballinlig,A83
Ballinlough,A82
Ballinlough,A85
Ballinlough,C15
Ballinlough Big,A82
Ballinlough Little,A82
Ballinrig,A83
Ballinrink,A82
Ballinrink Bridge,A82
Ballintclieve,A82
Ballintillan,A82
Ballintober,A82
Ballintogher,A82
Ballintogher,A83
Ballinvally,A82
Ballivor,C15
Ballnagun Upper,A82
Balloy,K32
Ballyadams,A83
Ballybeg,A82
Ballybin,A84
Ballybin,A85
Ballyboggan,A83
Ballyboggan,N91
Ballyboy,C15
Ballybrittas,C15
Ballycarn,A83
Ballyclare,A83
Ballyconnell,A83
Ballydonnell,N91
Ballyfallon,C15
Ballyfore,A82
Ballyfore,R35
Ballygarth,A92
Ballygortagh,A83
Ballyhack,A84
Ballyhist,A82
Ballyhoe,A81
Ballymacad,A82
Ballymacan,A92
Ballymacarney,D11
Ballymacarney,D15
Ballymacolgan,C15
Ballymacoll,A86
Ballymad,A92
Ballymadun,A84
Ballymagarvey,C15
Ballymagillin,A86
Ballymagillin,W23
Ballymaglassan,A86
Ballymahon,A83
Ballymakane,A82
Ballymore,A85
Ballymulmore,A83
Ballymurphy,A85
Ballynabarney,A83
Ballynagalshy,N91
Ballynalurgan,A82
Ballynamona,A82
Ballynamona,A83
Ballynaskea,A83
Ballynavaddog,C15
Ballytruan,A82
Ballywaltha,A92
Balnagon,A82
Balrath,A82
Balrath,C15
Balrath Demesne,A82
Balrathboyne,A82
Balreask,A82
Balreask,C15
Balreask New,C15
Balreask Old,C15
Balrenny,C15
Balrenny Cross,C15
Balruntagh,C15
Balsaran,A92
Balsaw,C15
Balsitric,C15
Balsoon,C15
Baltigeer,N91
Baltinoran,N91
Baltrasna,A82
Baltrasna,A84
Baltrasna,A85
Banestown,A82
Bannonstown,C15
Barfordstown,A82
Barleyhill,A82
Barney Hill,A82
Barnwellstown,C15
Baronstown,A85
Baronstown,C15
Barristown,C15
Barrockstown,W23
Barronstown,C15
Barstown,A86
Bartramstown,A42
Basketstown,A83
Baskinagh,C15
Batestown,C15
Batterjohn,C15
Batterstown,A86
Batterstown,C15
Battle of the Boyne,A92
Bawn,A82
Bawn Hill,A92
Bawnbreakey,A82
Baytown,D11
Baytowncross,A86
Baytownpark,A86
Beabeg,A92
Beamore,A92
Beamore Cross,A92
Beaufort Place,C15
Beaumont,A92
Beauparc,C15
Beauparc Station,C15
