Town,Postcode
Woodfield,P12
Fuhirees,P12
Forrest,P12
Flatts,P12
Firville,P12
Fergus West,P12
Fergus East,P12
Fergus,P12
Farranavarrigane,P12
Fair Green,P12
Faha,P12
Englishgarden,P12
East End,P12
Dysart,P12
Dundareirke,P12
Droumree Cross,P12
Droumree,P12
Dromreague,P12
Dromonig,P12
Dromnagopple,P12
Dromleigh,P12
Dromkeen,P12
Dromgownagh,P12
Dromduff,P12
Dromcarra,P12
Drombeg,P12
Dromatimore,P12
Dromanallig,P12
Dromagarry,P12
Dromacullen,P12
Dripsey Cross,P12
Dripsey,P12
Dooneens,P12
Dirrees,P12
Direenauling,P12
Deshure,P12
Derryvane,P12
Derryvaleen,P12
Derryvacorneen,P12
Derryroe,P12
Derryriordane South,P12
Derrynasaggart,P12
Derryleigh,P12
Derrylahan,P12
Derrygortnacloghy,P12
Derryfineen,P12
Derry Cross,P12
Derry,P12
Derrintogher,P12
Derrineanig,P12
Derreennacarton,P12
Derreenlunnig,P12
Derreenglass,P12
Derreendonee,P12
Derreenaculling,P12
Derreenabourky,P12
Derreen,P12
Derragh,P12
Derra Cross,P12
Deelish,P12
Dangansillagh,P12
Commons,P12
Codrum West,P12
Codrum,P12
Coachford,P12
Cloontycarthy,P12
Cloonshear More,P12
Cloonshear Beg,P12
Clontead More,P12
Clontead Beg,P12
Clonmoyle West,P12
Clonmoyle East,P12
Clonmoyle,P12
Clonfadda,P12
Clondrohid,P12
Clonclud,P12
Clonavrick,P12
Clohina,P12
Cloghboola,P12
Cleanrath South,P12
Cleanrath,P12
Classis,P12
Clashmaguire,P12
Clashbredane,P12
Chapel View,P12
Caum,P12
Castleview,P12
Casloura,P12
Carrigthomas,P12
Carrignarotane,P12
Carrignaneelagh,P12
Carrignamuck,P12
Carrignamaddry,P12
Carrignadoura,P12
Carrignacurra,P12
Carrigleigh,P12
Carrigdangan,P12
Carrigboy,P12
Carrigbaun,P12
Carrigathou,P12
Carrigaphooca,P12
Carriganish,P12
Carriganine,P12
Carriganima,P12
Carrigagulla,P12
Carrigadrohid,P12
Carrig,P12
Carhue,P12
Cappanclare,P12
Cappanaminna,P12
Cappanagraun,P12
Cappagh,P12
Canovee,P12
Candromey,P12
Callas Hill,P12
Callas,P12
Cahir,P12
Cahernafulla,P12
Caherkereen,P12
Caherkeegane,P12
Caherdowney,P12
Caherdaha,P12
Cahercarney,P12
Caherbirrane,P12
Caherbaroule,P12
Cackanode,P12
Cabragh,P12
Ballymakeera Lower,P12
Ballymakeera East,P12
Ballymakeera,P12
Ballymacorcoran,P12
Ballymacoo,P12
Ballingeary,P12
Ballinagree West,P12
Ballinagree Upper,P12
Ballinagree East,P12
Ballinagree,P12
Ballina,P12
Aughinida,P12
Ardnacrusha,P12
Ardeen,P12
Ardaneen,P12
Ard na Carraig,P12
Annahala West,P12
Annahala East,P12
Annahala,P12
Annagannihy,P12
Aharas,P12
Aglish Cross,P12
Aglish,P12
Aghavrin Cross,P12
Aghavrin,P12
Agharinagh,P12
Aghacunna,P12
Aghabullogue,P12
Garryantornora,P12
Garrynapeaka,P12
Glananarig,P12
Glandave,P12
Glantane East,P12
Glantane West,P12
Glasheen,P12
Glebe,P12
Glebe Stone,P12
Glounarig,P12
Gneeves,P12
Gortacroghig,P12
Gortacurrig,P12
Gortafludig,P12
Gortaknockane,P12
Gortaleahy,P12
Gortanacra,P12
Gortanaddan,P12
Gortaneadin,P12
Gortanimill,P12
Gortatanavally,P12
Gortatray,P12
Gortavranner,P12
Gorteennakilla,P12
Gortloughra,P12
Gortnabinna,P12
Gortnacarriga,P12
Gortnafunshion,P12
Gortnagross,P12
Gortnahoughtee,P12
Gortnalicky,P12
Gortnalour,P12
Gortnamona,P12
Gortnapeasty,P12
Gortnarea,P12
Gortnascarty,P12
Gortnascarty East,P12
Gortnatubrid,P12
Gortrahilly,P12
Gortsmoorane,P12
Gougane Barra,P12
Graigue,P12
Greenville,P12
Gurrane,P12
Gurrane East,P12
Gurrane Upper,P12
Gurranecarney,P12
Gurranenagappul,P12
Gurteen,P12
Gurteenflugh,P12
Gurteenowen,P12
Gurteenroe,P12
Gurtnabinna,P12
Gurtnashinagh,P12
Haremount,P12
Henmount,P12
Horsemount,P12
Ida Industrial Esta,P12
Illauninagh East,P12
Illauninagh West,P12
Inchaleagh,P12
Inchamore,P12
Inchi Beg,P12
Inchi More,P12
Inchibrackane,P12
Inchidroil,P12
Inchigeelagh,P12
Inchinahoury,P12
Inchinaneave,P12
Inchinashingane,P12
Inchineill,P12
Inchinlinane,P12
Inchinossig,P12
Inchisine,P12
Inishleena,P12
Johnstown,P12
Kealvaugh,P12
Keamcorravooly,P12
Keimeens,P12
Kiel,P12
Kilavoultra,P12
Kilbarry,P12
Kilberrihert,P12
Kilblaffer,P12
Kilclogh,P12
Kilcolman,P12
Kilgobnet,P12
Killabbey,P12
Killaclug,P12
Killeens,P12
Killinardrish,P12
Kilmakaroge,P12
Kilmore,P12
Kilnagurteen,P12
Kilnamartyra,P12
Kilnarovanaigh,P12
Kilpatrick,P12
Kippagh,P12
Knock,P12
Knockane,P12
Knockaneowen,P12
Knockanereagh,P12
Knockanure,P12
Knockavullig,P12
Knockeenacuttin,P12
Knockengerk,P12
Knockglass,P12
Knocknagoul,P12
Lack,P12
Lacka,P12
Lackabaun,P12
Lackaduff,P12
Lackaduv,P12
Lackaneen,P12
Lacknahacknee,P12
Lacktify,P12
Lagneeve,P12
Lahern,P12
Lakefield,P12
Larch Hill,P12
Larch Hill Crossroa,P12
Larchfield,P12
Leades,P12
Leades Cross,P12
Lee View,P12
Leemount,P12
Lehena,P12
Lisboy Beg,P12
Lisboy More,P12
Liscarrigane,P12
Lisladeen,P12
Lismahane,P12
Lisnacuddy,P12
Lisnashandrum,P12
Lissacresig,P12
Loughleigh,P12
Lower Carrigadrohid,P12
Lower Clonmoyle,P12
Lower Codrum,P12
Lower Dripsey,P12
Lower Massytown,P12
Lower Sleaveen East,P12
Lumanagh,P12
Lumnagh Beg,P12
Lyrenageeha,P12
Macloneigh,P12
Macroom,P12
Magoola,P12
Magourney,P12
Mahallagh,P12
Mamucky,P12
Mashanaglass,P12
Massytown,P12
Maulmore,P12
Meadowlands,P12
Milleen,P12
Milleens,P12
Milmorane,P12
Moanfluigh,P12
Model Village,P12
Monallig,P12
Monareagh,P12
Monataggart,P12
Monavaddra,P12
Moneycusker,P12
Moulnagrough,P12
Moulnahorna,P12
Mountmassey,P12
Mountmusic,P12
Mountmusic South,P12
Mullinhassig,P12
Mullinroe,P12
Murnaghbeg,P12
Myshal,P12
Nadrid,P12
Nettleville,P12
North Kilmurry,P12
Oldcastle,P12
Oldtown,P12
Oughtara,P12
Parkanillane,P12
Peake,P12
Prohus,P12
Rahalisk,P12
Rahoona,P12
Rahoonagh West,P12
Raleigh North,P12
Raleigh South,P12
Rath,P12
Rathgaskig,P12
Rathonane,P12
Rathonoane,P12
Rea,P12
Reanabobul,P12
Reanacaheragh,P12
Renaniree,P12
Rockborough,P12
Rockgrove,P12
Rooves Beg,P12
Rooves More,P12
Rose Cottage,P12
Rosnascalp,P12
Rossalougha,P12
Rossmore,P12
Rossnakilla,P12
Rusheen,P12
Scarteen,P12
Scrahanagown,P12
Scrahanard,P12
Scrahanmore,P12
Shanacashel,P12
Shanacloon,P12
Shanakill,P12
Shanavagha,P12
Shanballyshane,P12
Shandangan East,P12
Shandangan West,P12
Shroneagare,P12
Silvergrove,P12
Sleaveen East,P12
Sleaveen West,P12
Slieveowen,P12
Slievereagh,P12
South Berrings,P12
Tarelton,P12
Teeranassig,P12
Teerbeg,P12
Teergay,P12
The Glebe,P12
The Mills,P12
The Square,P12
Tir na Spideoga,P12
Toames East,P12
Toames West,P12
Togher,P12
Toonlane,P12
Toonsbridge,P12
Tooreenalour,P12
Tooreenduff,P12
Tooreenlahard,P12
Tooreennanean,P12
Tullatreada,P12
Tullig,P12
Tullig More,P12
Udaras Business Park,P12
Údaras Industrial e,P12
Ullanes East,P12
Ullanes West,P12
Ummera,P12
Upper Ballina,P12
Upper Carrigadrohid,P12
Upper Codrum,P12
Upper Currahy,P12
Upper Dromacullig,P12
Upper Knockavullig,P12
West End,P12
Woodfield,P12
Farranduff,P14
Farran West,P14
Farran Cross,P14
Farran,P14
Farnanes North,P14
Farnanes,P14
Dunmarklun,P14
Dunisky West,P14
Dunisky Upper,P14
Dunisky Lower,P14
Dunisky,P14
Deermount,P14
Commons West,P14
Commons,P14
Cloughduv East,P14
Cloughduv,P14
Clomacow West,P14
Clomacow,P14
Clodagh,P14
Clearagh,P14
Castlemore,P14
Carrigeen,P14
Carrigdarrery,P14
Ballymichael,P14
Ballinguilla,P14
Ardrah,P14
Ardaneneen,P14
Aherla Beg,P14
Glannarouge,P14
Glannarouge East,P14
Greenville,P14
Gurranemuddagh,P14
Gurranleigh,P14
Gurranreigh,P14
Gurranreigh East,P14
Hornhill,P14
Inchirahilly,P14
Kilbarry,P14
Kilbarry South,P14
Kilbrenan,P14
Kilcondy,P14
Kilcondy Lower,P14
Kilmurry,P14
Kilmurry Cross,P14
Knockaneroe,P14
Knockboy,P14
Knocknagoul,P14
Lackareagh,P14
Leachtneill,P14
Lissarda,P14
Minister's Cross,P14
Poulanargid,P14
Pound Cross,P14
Pullerick,P14
Pullerick Upper,P14
Rathfelane,P14
Rathonoane,P14
Ryecourt,P14
Scart Lower,P14
Teereeven,P14
The Mills,P14
Warrenscourt,P14
Warrensgrove,P14
Fountainstown,P17
Forthill,P17
Fartha,P17
Farrangalway,P17
Farraneen,P17
Farranbrien West,P17
Farranbrien East,P17
Farranatouke,P17
Farranamoy,P17
Dunderrow,P17
Dunbogey,P17
Dromdough,P17
Dromderrig,P17
Dooneen Upper,P17
Dooneen Lower,P17
Dooneen,P17
Doonavanig,P17
Derrynagasha,P17
Compass Quay,P17
Commoge,P17
Clonleigh,P17
Clogheen,P17
Clashroe,P17
Clashmore,P17
Castletown,P17
Castlepark Village,P17
Castlepark,P17
Castlelands,P17
Carrigeen,P17
Carrigavulleen,P17
Cappagh,P17
Camphill,P17
Ballyregan,P17
Ballynoe,P17
Ballynamona,P17
Ballynacourty,P17
Ballynabooly,P17
Ballymacus,P17
Ballymacredmond,P17
Ballymackean,P17
Ballymacaw,P17
Ballyidon,P17
Ballyherkin Upper,P17
Ballyhander,P17
Ballyhamsane,P17
Ballygrissane,P17
Ballyfoyle,P17
Ballyfeard,P17
Ballydonaghy,P17
Ballydawley,P17
Ballycatten,P17
Ballybogey,P17
Ballinwillin,P17
Ballinvredig,P17
Ballinvologe,P17
Ballinvarrig,P17
Ballinvard,P17
Ballinspittle,P17
Ballinroe East,P17
Ballinroe,P17
Ballinrichard,P17
Ballinreenlanig,P17
Ballinluig West,P17
Ballinluig East,P17
Ballingarry West,P17
Ballingarry Middle,P17
Ballingarry East,P17
Ballindeenisk,P17
Ballindeasig,P17
Ballincurrig,P17
Ballinascubbig,P17
Ballinalougha,P17
Ballinacurra,P17
Ballinacubby,P17
Ballinaclashett,P17
Ballady,P17
Artiteige,P17
Ardnaboha,P17
Ardmartin,P17
Ardkilly,P17
Ardcloyne,P17
Ardbrack,P17
Annefield,P17
Annacarriga,P17
Ahane,P17
Acres,P17
Abbeylands,P17
Abbey Fort,P17
Garraha,P17
Garrettstown,P17
Garrylucas,P17
Glanbeg,P17
Glasheen,P17
Gortagrenane,P17
Gortnacrusha,P17
Gortnacrusha North,P17
Gortnacrusha South,P17
Gortnalicky,P17
Gortnalisheen,P17
Granig,P17
Haven Bay Village,P17
Hollyhill,P17
Horsehill,P17
Horsehill Beg,P17
Horsehill More,P17
Jagoes Mill,P17
Kilbeg,P17
Kilcawha,P17
Kilcolman,P17
Kilgobbin,P17
Kilkerran North,P17
Kilkerran South,P17
Killany,P17
Killeagh,P17
Killowen,P17
Killowney,P17
Kilmore,P17
Kilnacloona,P17
Kilnacloona Upper,P17
Kinsale,P17
Kinsale Commercial,P17
Kinsale Manor,P17
Kinure,P17
Knockacullen,P17
Knockduff,P17
Knockgorm,P17
Knockleigh,P17
Knocknabinny,P17
Knocknabohilly,P17
Knocknacurra,P17
Knocknahilan,P17
Knocknahowla Beg,P17
Knocknahowla More,P17
Lackenagea,P17
Lacknacummeen,P17
Laharn,P17
Lahern,P17
Laherne Hill,P17
Leighmoney Beg,P17
Leighmoney More,P17
Liscahane Beg,P17
Liscahane More,P17
Lisnacrilla,P17
Lispatrick,P17
Lispatrick Lower,P17
Lispatrick Upper,P17
Lissard,P17
Lower Ballynacubby,P17
Lower Cove,P17
Lybe,P17
Mansfield Land,P17
Mellifontstown,P17
Minane Bridge,P17
Mitchelstown East,P17
Mitchelstown West,P17
Moanroe,P17
Monaclarig,P17
Mountlong,P17
Mullendunny,P17
Newborough,P17
Nohoval,P17
Oatlands,P17
Oatlands Cross,P17
