Town,Postcode
Ardinassa,E21
Ballinamona,E21
Ballinatona,E21
Ballingeary,E21
Ballinhalla,E21
Ballyallavoe,E21
Ballyboy East,E21
Ballyboy West,E21
Ballybrado,E21
Ballydrehid,E21
Ballyea,E21
Ballygarrane,E21
Ballygerald,E21
Ballyhenebery,E21
Ballyhickey,E21
Ballyhistbeg,E21
Ballyhohan,E21
Ballyhurrow,E21
Ballyknockane,E21
Ballylegan,E21
Ballylomasna,E21
Ballylooby,E21
Ballymacadam East,E21
Ballymacadam West,E21
Ballymorris,E21
Ballyporeen,E21
Ballysheehan,E21
Ballytrehy,E21
Ballywilliam,E21
Bannamore,E21
Barnora,E21
Barrabue,E21
Bohernagore,E21
Bohernagore West,E21
Bohernarnane,E21
Boolakennedy,E21
Burgess Cross,E21
Burgess Hill,E21
Burgess Mansion,E21
Burncourt,E21
Caddlestown,E21
Cahergaul,E21
Cahir,E21
Cahirabbey Lower,E21
Cahirabbey Upper,E21
Cappa,E21
Carragaun,E21
Carriganroe,E21
Carrigataha,E21
Carrigavisteal,E21
Carrigeen,E21
Carrigmore,E21
Castlecoyne,E21
Castlegrace,E21
Chamberlainstown,E21
Cloghabreeda,E21
Clogheen,E21
Clogheen Market,E21
Cloheenafishoge,E21
Clonmore,E21
Clonmore North,E21
Clonmore South,E21
Coolaclamper,E21
Cooladerry,E21
Coolagarranroe,E21
Coolantallagh,E21
Coolaprivane,E21
Coolbaun,E21
Cooldevanne,E21
Cooleville,E21
Coolroe,E21
Cranna,E21
Crannagh,E21
Crannavone,E21
Croughale,E21
Cuckoohill,E21
Cullenagh,E21
Cullenagh South,E21
Curraghatoor,E21
Curraghcloney,E21
Curraghslagh,E21
Curraleigh,E21
Dangan,E21
Derravoher,E21
Derrygrath,E21
Derrygrath Lower,E21
Derrygrath Upper,E21
Doolis,E21
Doughill,E21
Drangan Beg,E21
Drangan More,E21
Drumlemon,E21
Drumroe,E21
Edenmore,E21
Farrangark,E21
Farranlahassery,E21
Farrannagark,E21
Flemmingstown,E21
Galtee Castle,E21
Galvoher,E21
Garnavilla,E21
Garrandillon,E21
Garrycloher,E21
Garrymore,E21
Garryroan,E21
Glenacunna,E21
Glenacunna North,E21
Glencallaghan,E21
Glengar,E21
Glennagat,E21
Graigue,E21
Grange Beg,E21
Grange More,E21
Gurtacullen,E21
Gurteen,E21
Gurtishall,E21
Heathfield,E21
Hopkinsrea,E21
Husseystown,E21
Inchnamuck,E21
Kedrah,E21
Keylong,E21
Kilballyboy,E21
Kilbeg,E21
Kilcarroon,E21
Kilcarroon West,E21
Kilcommon,E21
Kilcommon Cross,E21
Kilcommon More Nort,E21
Kilcommon More Sout,E21
Kilcoran,E21
Killcommon,E21
Killeaton,E21
Killeigh,E21
Killemly,E21
Killinure,E21
Kilmalogue,E21
Kilmoyler,E21
Kilnabutler,E21
Kilnamona,E21
Kilroe,E21
Kilroe Wood,E21
Kiltankin,E21
Kilvanogue,E21
Knocka,E21
Knockane,E21
Knockannapisha,E21
Knockgraffon,E21
Knockmorris,E21
Knocknaboha,E21
Knocknagopple,E21
Knockquill,E21
Knockskagh,E21
Lisfuncheon,E21
Lisnamuck,E21
Lissakyle,E21
Lissava,E21
Lissava Upper,E21
Loughacutteen,E21
Loughkent,E21
Loughloher,E21
Loughona,E21
Lyreen,E21
Lyrefune,E21
Middle Burgess,E21
Moher,E21
Monaloughra,E21
Monaraha,E21
Moorstown,E21
Mortlestown,E21
Mortlestown Little,E21
Mountanglesby,E21
New Burgess,E21
Newcastle,E21
Newtown,E21
Newtownadam,E21
Nicholastown,E21
Old Shanbally,E21
Outeragh,E21
Outrath,E21
Parkaderreen,E21
Parkview,E21
Peahill,E21
Poulaculleare,E21
Poulavala,E21
Rafane,E21
Raheen,E21
Raheenroe,E21
Rathard,E21
Rathmore,E21
Rehill,E21
Rehill Cross,E21
Riverstown,E21
Rochestown,E21
Roosca,E21
Roosca Miles,E21
Rossrehill,E21
Scart,E21
Scart East,E21
Scartana,E21
Scartnaglorane,E21
Shanbally,E21
Shanrahan,E21
Shortcastle,E21
Skeheenarinky,E21
Suttonrath,E21
The Gables,E21
Tincurry,E21
Tobar Íosa,E21
Tooloone,E21
Toor Beg,E21
Toor More,E21
Toureen,E21
Townparks,E21
Tubrid,E21
Upper Burncourt,E21
West Burgess,E21
Whitechurch,E21
Whitelands,E21
Woodhouse,E21
Woodinstown,E21
Áras na Rí,E25
Ardmayle,E25
Ardmayle East,E25
Ardmayle West,E25
Athasselabbey,E25
Attykit,E25
Aughnagamun,E25
Ballagh,E25
Ballinaclogh,E25
Ballinahinch,E25
Ballinaloch,E25
Ballinamona,E25
Ballindrummeen,E25
Ballinlina,E25
Ballinree,E25
Ballintemple,E25
Ballycamusk,E25
Ballycarron,E25
Ballycomisk,E25
Ballydine,E25
Ballydoyle,E25
Ballyduagh,E25
Ballyfowloo,E25
Ballygerald,E25
Ballygerald East,E25
Ballygorteen,E25
Ballygriffin,E25
Ballyheens,E25
Ballyherberry,E25
Ballykelly,E25
Ballyknock,E25
Ballymacady,E25
Ballymackane,E25
Ballymore,E25
Ballyowen,E25
Ballypadeen,E25
Ballyroe,E25
Ballysheehan,E25
Ballyslatteen,E25
Ballytarsna,E25
Ballyvada,E25
Ballywalter,E25
Bawnatanvoher,E25
Bawnbrack,E25
Bawnmore,E25
Blackcastle,E25
Boherlahan,E25
Boscabell,E25
Boytonrath,E25
Boytonrath Boreen,E25
Brickendown,E25
Brittas,E25
Bullockpark,E25
Caherbaun,E25
Cahervillahowe,E25
Camus,E25
Carrigeen,E25
Carron,E25
Carrow,E25
Cashel,E25
Castleblake,E25
Castlelake,E25
Castlemoyle North,E25
Castlemoyle South,E25
Castlepark,E25
Clareen,E25
Clogher,E25
Clogher Hill,E25
Cloghleigh,E25
Clonbonane,E25
Clonmore,E25
Clonmore North,E25
Clonoulty,E25
Clonoulty Churchqua,E25
Clonoulty Curragh,E25
Clonoulty Hill,E25
Clonoulty Village,E25
Cluendarby,E25
Clune,E25
Coleraine,E25
Comerfords Lot,E25
Coolanga,E25
Coolanga Lower,E25
Coolanga Upper,E25
Cooper's-Lot,E25
Corbally,E25
Corbally Lower,E25
Corbally Upper,E25
Corralough,E25
Curraghtarsna,E25
Currana,E25
Dangan,E25
Deansgrove,E25
Deerpark,E25
Derrycloney,E25
Dogstown,E25
Doorish,E25
Drum,E25
Drumwood,E25
Dualla,E25
Dún Chormaic,E25
Eastlone,E25
Erry,E25
Farranamanagh,E25
Farranavarra,E25
Farrankindry,E25
Farranliney,E25
Foileen,E25
Freaghduff,E25
Fussough,E25
Gaile,E25
Garrandee,E25
Garrane,E25
Garranlea,E25
Garranmore,E25
Garraun,E25
Garryandrew,E25
Garryandrew North,E25
Garryandrew South,E25
Garryard,E25
Georgesland,E25
Glenaneigh,E25
Glenough,E25
Glenough Lower,E25
Golden,E25
