Town,Postcode
Abbeyside,X35
Adamstown,X91
Adramone,X42
Adrigole,P36
Affane,P51
Affane Hunter,P51
Aglish,P51
Ahanaglogh,X42
Ahaun,P51
Ahaun,X35
Ahaunboy South,P51
Airmount,X91
Airport Business Pa,X91
Amberhill,X91
An Carraig,X91
Annestown,X91
Árd na Groí,X91
Ardeenloun,X91
Ardeenloun West,X42
Ardkeen Retail Park,X91
Ardkeen Village,X91
Ardmore,P36
Ardnahoe,X91
Ardocheasty,P36
Ardoginna,P36
Ardpaddin,E91
Ardsallagh,P36
Ascurra,X91
Ashley Court,X91
Ashtown,X42
Aughmore,E32
Aughnacurraveel,P36
Avondale,X91
Baile na Ndeise,X91
Baile na Ngall,X35
Baile na Ngall Beag,X35
Baile na Ngall Mór,X35
Balleighteragh East,X35
Balleighteragh West,X35
Ballinabanogue,X42
Ballinabanogue Nort,X42
Ballinaboola,X91
Ballinaclough,X91
Ballinacourty,X35
Ballinacurra,E32
Ballinafina,E32
Ballinageeragh,X91
Ballinagigla,X42
Ballinagoula,X42
Ballinaha,P51
Ballinaharda,X35
Ballinahemmery,X35
Ballinahilla,X42
Ballinakill,E91
Ballinakill,X91
Ballinakill Downs,X91
Ballinalira,X35
Ballinameela,X35
Ballinamertina,P36
Ballinamintra,X35
Ballinamintra,X91
Ballinamona,P36
Ballinamona,X35
Ballinamona,X91
Ballinamona Enterpr,X91
Ballinamona Lower,X35
Ballinamuck,X35
Ballinamuck East,X35
Ballinamuck Middle,X35
Ballinamuck West,X35
Ballinamult,E91
Ballinaraha,P51
Ballinard,X35
Ballinarrid,X42
Ballinasisla,X42
Ballinaspick,P51
Ballinattin,X91
Ballinavogue,X35
Ballinclamper,X35
Ballincoush,X35
Ballindrumma,P36
Ballindud,X91
Ballindud Business,X91
Ballindysert,E32
Ballingarra,E32
Ballingarry,X42
Ballingorkagh,X91
Ballingoula,X42
Ballingowan,X42
Ballinkina,X91
Ballinlookra,P61
Ballinlough,X42
Ballinlovane,P51
Ballinroad,X35
Ballinroon,P51
Ballintaylor,X35
Ballintlea,X35
Ballintlea,X42
Ballintlea North,X35
Ballintlea South,X35
Ballintoor,X35
Ballinure,P36
Ballinure,X35
Ballinvella,P51
Ballinvella,X91
Ballinwillin,P51
Ballyadam,X91
Ballyanchor,P51
Ballyard,X35
Ballybeg,X91
Ballyboy,X42
Ballybrack,X42
Ballybregin,X91
Ballybrennock,X91
Ballybrien,E91
Ballybrusa,P36
Ballybrusa East,P36
Ballybrusa West,P36
Ballycahane,X91
Ballycanavan,X91
Ballycarnane,X91
Ballycarnane Woods,X91
Ballycashin,X91
Ballyclement,P51
Ballyclough,E32
Ballycoe,X35
Ballyconnery,X35
Ballyconnery Upper,X35
Ballycordra,X91
Ballycraddock,X91
Ballycrompane,P36
Ballycullane,E32
Ballycullane,X35
Ballycullane Beg,X35
Ballycullane More,X35
Ballycurrane,P36
Ballycurrane South,P36
Ballycurreen North,X35
Ballycurreen South,X35
Ballydasoon,P36
Ballydavid,X91
Ballydermody,X91
Ballydonagh,E91
Ballydrislane,X91
Ballyduff,P51
Ballyduff,X35
Ballyduff Beg,X35
Ballyduff East,X91
Ballyduff Hill,X91
Ballyduff West,X91
Ballyduffmore,X35
Ballydurn,E32
Ballydurn,X42
Ballydurn,X91
Ballydwan,X42
Ballydwan East,X42
Ballydwan West,X42
Ballyea East,P51
Ballyea West,P51
Ballyeelinan,P36
Ballygalane,P51
Ballygalane Upper,P51
Ballygally,P51
Ballygambon,X35
Ballygambon Lower,X35
Ballygambon Upper,P51
Ballygambon Upper,X35
Ballygarran,X42
Ballygarran,X91
Ballygarran Upper,X91
Ballygarret,E32
Ballygegan,X35
Ballyglan,X91
Ballyguiry,X35
Ballyguiry Lower,X35
Ballyguiry Upper,X35
Ballyguiry West,X35
Ballygunner,X91
Ballygunnercastle,X91
Ballygunnermore,X91
Ballygunnertemple,X91
Ballyhamlet,P51
Ballyhander,P51
Ballyhane,P51
Ballyharrahan,X35
Ballyheadon,X91
Ballyheaphy,P61
Ballyheeny,P36
Ballyheeny Lower,P36
Ballyhest,E32
Ballyhoo,X91
Ballyhussa,X42
Ballyin,P51
Ballykennedy,X35
Ballykerin,X35
Ballykeroge,X42
Ballykeroge Big,X42
Ballykeroge Little,X42
Ballykilmurry,P36
Ballykilmurry,X42
Ballykinsella,X91
Ballyknock,E32
Ballyknock,P36
Ballyknock,X35
Ballyknock Lower,X35
Ballyknock Upper,X35
Ballylane,P36
Ballylaneen,X42
Ballylangadon,P36
Ballyleen,X42
Ballylemon,X35
Ballylemon Lower,X35
Ballylenane,X91
Ballyloughbeg,X91
Ballyloughmore,X91
Ballylynch,X42
Ballylynch Cross,X42
Ballymabin,X91
Ballymacarbry,E91
Ballymacarbry Upper,E91
Ballymacart,X35
Ballymacart Lower,X35
