Town,Postcode
Ballynascarry,A82
Hilltown,A82
Ballinlig,C15
Ballinlough,C15
Clonmellon,C15
Cloran,C15
Dervotstown,C15
Heathstown,C15
Killua,C15
Kilrush,C15
Kilrush Lower,C15
Kilrush Upper,C15
Knock Killua,C15
Lisclogher Little,C15
Lyburn,C15
Moygrehan,C15
Newtown,C15
Paristown,C15
Rosmead,C15
Split Hills,C15
Aghafin,N37
Aghanargit,N37
Aghanasmore,N37
Aghavoneen,N37
Aghnasullivan,N37
Annagh,N37
Annaghgortagh,N37
Ardborra,N37
Ardnacrany,N37
Ardnagrath,N37
Ardnagrath Lower,N37
Ardnaponra,N37
Ardyduffy,N37
Athlone,N37
Attymurtagh,N37
Auburn,N37
Bagshot Lodge,N37
Ballinabarna,N37
Ballinagabry,N37
Ballinagee,N37
Ballinahowen,N37
Ballinahownwood,N37
Ballinakill,N37
Ballinalack,N37
Ballinalone,N37
Ballinamudda,N37
Ballinara,N37
Ballinaspick,N37
Ballinderry,N37
Ballinlassy,N37
Ballinlig,N37
Ballinlig Lower,N37
Ballinlig Upper,N37
Ballintober,N37
Ballybeg,N37
Ballyboran,N37
Ballybrickoge,N37
Ballybroder,N37
Ballycloghduff,N37
Ballydonagh,N37
Ballydoogan,N37
Ballydrown,N37
Ballygowlan,N37
Ballyhoran,N37
Ballykeeran,N37
Ballykillroe,N37
Ballymurray,N37
Ballynacliffy,N37
Ballynagall,N37
Ballynagrenia,N37
Ballynakill,N37
Ballynamuddagh,N37
Ballysallagh,N37
Ballyscarvan,N37
Baltrasna,N37
Baskin,N37
Bawn,N37
Bawnoges,N37
Baylin,N37
Baylough,N37
Beachlawn,N37
Belville,N37
Benown,N37
Bethlehem,N37
Bishopstown,N37
Blyry Business & Co,N37
Blyry Lower,N37
Blyry Upper,N37
Boggagh,N37
Bonavalley,N37
Boyanna,N37
Brackagh,N37
Brittas,N37
Brockagh,N37
Bryanbeg,N37
Bryanmore,N37
Bunnahinly,N37
Bushfield,N37
Caltra,N37
Cannistown,N37
Caplahard,N37
Capnakelly,N37
Cappagh,N37
Cappaghauneen,N37
Carn Park,N37
Carnafin,N37
Carnakill Point,N37
Carrick,N37
Carrickaneha,N37
Carrickfin,N37
Carrickobrien,N37
Cartroncor,N37
Cartroncroy,N37
Cartrons,N37
Cartrontroy,N37
Castledaly,N37
Castlequarter,N37
Castletown,N37
Cauran,N37
Clare Hill,N37
Cloghanboy,N37
Clogher,N37
Clonagh,N37
Clonaltra,N37
Clonbonny,N37
Clonbrusk,N37
Clonbrusk West,N37
Cloneyegan,N37
Clonkeen,N37
Clonlonan,N37
Clonmore,N37
Clonnydonnin,N37
Clonrelick,N37
Clonthread,N37
Cloonbonny,N37
Cloughbreen,N37
Coolaleena,N37
Coolalough,N37
Coolatoor,N37
Cooleen,N37
Coolvuck,N37
Coosan,N37
Coosan Point,N37
Corlis,N37
Cormaclew,N37
Cornamaddy,N37
Cornamagh,N37
Corr,N37
Corralena,N37
Correagh,N37
Creaghduff,N37
Creeve,N37
Creevebeg,N37
Creevenamanagh,N37
Creggan,N37
Creggan Upper,N37
Cregganmacar,N37
Creggy,N37
Crosswood,N37
Culleenagower,N37
Curragh,N37
Curraghbawn,N37
Curraghbeg,N37
Curries,N37
Custorum,N37
Deerpark,N37
Derries,N37
Doonis,N37
Dorringtown,N37
Drumraney,N37
Dunamona,N37
Dunegan,N37
Dunlom,N37
Duogue,N37
Easthill,N37
Faggot Hill,N37
Fairfield,N37
Fardrum,N37
Farnagh,N37
Farranmanny South,N37
Farrannamoreen,N37
Fearmore,N37
Fortyacres,N37
Fossagh,N37
Galvin's Boreen,N37
Garnafailagh,N37
Garrycastle,N37
Gaulstown,N37
Glasson,N37
Glenwood,N37
Golden Island,N37
Gortmore,N37
Grange,N37
Gurteen,N37
Hall,N37
High Warren,N37
Hillquarter,N37
Horseleap,N37
Inchbofin Island,N37
Kilbeg,N37
Kilbillaghan,N37
Kilcatherina,N37
