Town,Postcode
Altidore Demesne,A63
Amigo,A63
Ballinahinch,A63
Ballinahinch Lower,A63
Ballinahinch Middle,A63
Ballinahinch Upper,A63
Ballinashinnagh,A63
Ballinastoe,A63
Ballydonagh,A63
Ballydonarea,A63
Ballygannon,A63
Ballygarret,A63
Ballyloughlin,A63
Ballynerrin,A63
Ballyphilip,A63
Ballyronan,A63
Ballyvolan,A63
Ballyvolan Lower,A63
Ballyvolan Upper,A63
Barnacoyle Big,A63
Bellevue Demesne,A63
Belmont Demsne,A63
Blackditch,A63
Blacklion,A63
Bromley,A63
Bullford,A63
Callowhill,A63
Callowhill Lower,A63
Callowhill Upper,A63
Carriggower,A63
Castlegrange,A63
Charlesland,A63
Cooladoyle,A63
Coolagad,A63
Cooldross Upper,A63
Coolnaskeagh,A63
Corsillagh,A63
Delgany,A63
Delgany Wood,A63
Downs,A63
Downs Industrial Es,A63
Downshill,A63
Druid's Glen,A63
Drumbawn,A63
Drummin East,A63
Drummin West,A63
Dunranhill,A63
Easthill,A63
Farrankelly,A63
Five Mile Point,A63
Glen of the Downs,A63
Glendarragh,A63
Glenheron,A63
Grange North,A63
Greystones,A63
Holywell,A63
Johnstown,A63
Keeloge Lower,A63
Keeloge Upper,A63
Kilcoole,A63
Kilcoole Industrial,A63
Kilday,A63
Killadreenan,A63
Killickabawn,A63
Killincarrig,A63
Killinpark,A63
Killoughter,A63
Kilmacullagh,A63
Kilmartin,A63
Kilmullin,A63
Kilmurray,A63
Kilmurry,A63
Kilpedder,A63
Kilpedder East,A63
Kilpedder West,A63
Kilquade,A63
Kiltimon,A63
Kindlestown Upper,A63
Knockroe,A63
Leabeg Lower,A63
Leabeg Middle,A63
Leabeg Upper,A63
Leamore Lower,A63
Leamore Upper,A63
Lower Kindlestown,A63
Marina Village,A63
Merepark,A63
Monalin,A63
Moneycarroll,A63
Mount Kennedy Demes,A63
Mountjohn,A63
Network Enterprise,A63
Newcastle,A63
Newcastle Upper,A63
Newtown Business an,A63
Newtownmountkennedy,A63
Old Russian Village,A63
Porturlan,A63
Priestsnewtown,A63
Prospect Lower,A63
Rathdown Upper,A63
Redford,A63
Seasonpark,A63
Seaview,A63
Stilebawn,A63
Templecarrig,A63
Templecarrig Lower,A63
Templecarrig Upper,A63
Tiglin,A63
Timmore,A63
Timore,A63
Tinnapark,A63
Tinnapark Demesne,A63
Tithewer,A63
Tooman,A63
Trudder,A63
Wicklow Hills,A63
Willow Grove,A63
Windgates,A63
Woodlands,A63
Woodstock Demesne,A63
Aghowle Lower,A67
Aghowle Upper,A67
Annagowlan,A67
Ardanary,A67
Ashford,A67
Ashtown,A67
Avondale,A67
Bahana,A67
Ballard,A67
Ballard Lower,A67
Ballard Upper,A67
Ballardbeg,A67
Ballardpark,A67
Balleece Lower,A67
Balleece Upper,A67
Ballinabarney,A67
Ballinacarrig Lower,A67
Ballinacarrig Upper,A67
Ballinaclash,A67
Ballinaclea,A67
Ballinaclough,A67
Ballinacoola,A67
Ballinacor,A67
Ballinacor East,A67
Ballinacor Estate,A67
Ballinacor West,A67
Ballinahinch,A67
Ballinakill,A67
Ballinalea,A67
Ballinameesda Lower,A67
Ballinameesda Upper,A67
Ballinanty,A67
Ballinapark,A67
Ballinatone,A67
Ballinatone Lower,A67
Ballinatone Upper,A67
Ballinclare,A67
Ballinderry Lower,A67
Ballinderry Upper,A67
Ballindoyle,A67
Ballinteskin,A67
Ballintim,A67
Ballintombay Lower,A67
Ballintombay Upper,A67
Ballinvally Lower,A67
Ballybeg,A67
Ballybla,A67
Ballyboy,A67
Ballybraid,A67
Ballycapple,A67
Ballycapple Hill,A67
Ballyclogh North,A67
Ballyclogh South,A67
Ballycullen,A67
Ballycurry Demesne,A67
Ballydonnell,A67
Ballydoreen,A67
Ballydowling,A67
Ballydowling Hill,A67
Ballyduff Cross,A67
Ballyduff Lower,A67
Ballyduff Upper,A67
Ballyeustace,A67
Ballyflanigan,A67
Ballyfree East,A67
Ballyfree West,A67
Ballygannon,A67
Ballygannon Beg,A67
Ballygannon More,A67
Ballygillaroe,A67
Ballygonnell,A67
Ballyguile,A67
Ballyguile Beg,A67
Ballyguile More,A67
Ballyhad Lower,A67
Ballyhad Upper,A67
Ballyhara,A67
Ballyhenry,A67
Ballyherrig,A67
Ballykeane,A67
Ballykillavane,A67
Ballykippogue,A67
Ballyknockan,A67
Ballyknockan Beg,A67
Ballyknockan Lower,A67
Ballyknockan More,A67
Ballyknockan Upper,A67
Ballylug,A67
Ballylusk,A67
Ballymacahara,A67
Ballymacsimon,A67
Ballymaghroe,A67
Ballymanus Lower,A67
Ballymanus Upper,A67
Ballymerrigan,A67
Ballymoate,A67
Ballymoney,A67
Ballymurrin Lower,A67
Ballymurrin Upper,A67
Ballynabarny,A67
Ballynacarrig,A67
Ballynagran,A67
Ballynamona,A67
Ballynerrin,A67
Ballynerrin Lower,A67
Ballynerrin Upper,A67
Ballyrogan Lower,A67
Ballyrogan Upper,A67
Ballysallagh East,A67
Ballyshane,A67
Ballysheeman,A67
Ballyteigue,A67
Ballytunny,A67
Ballyvaltron,A67
Ballyvolan,A67
Barnbawn,A67
Barndarrig,A67
Bel-Air Holiday Vil,A67
Bellpark,A67
Blackditch,A67
Blainroe,A67
Blainroe Lower,A67
Blainroe Upper,A67
Blindwood,A67
Bolagh,A67
Bolagh Lower,A67
Boleynass Lower,A67
Boleynass Upper,A67
Bollarney,A67
Bollarney North,A67
Bollarney South,A67
Bonabrocka,A67
Bonagrew,A67
Breagura,A67
Brittas Bay,A67
Broomfield,A67
Broomhall,A67
Broomhall Business,A67
Burkeen,A67
Carriglineen,A67
Carrigmore,A67
Carrignamuck,A67
Carrowbawn,A67
Castletimon,A67
Chapel,A67
Clara More,A67
Clara Vale,A67
Clarabeg North,A67
Cloghogue,A67
Clonerkin,A67
Clonmannon,A67
Clora,A67
Commons,A67
Coolaflake,A67
Coolanearl,A67
Coolawinnia,A67
Coolbeg,A67
Coolnakilly,A67
Copse,A67
Corballis,A67
Corballis Lower,A67
Corballis Upper,A67
Cornagower East,A67
Cornagower West,A67
